"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168484","AT 2024aefa","05:00:06.504","+24:31:27.54","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rlv","ATLAS-HKO - ATLAS-02","","1","1","","18.544","orange-ATLAS","2024-12-18 10:40:04.800","ATLAS_Bot1","","","",""
"168481","AT 2024aeex","22:37:22.122","+11:41:57.54","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rlu","ATLAS-HKO - ATLAS-02","","1","1","","19.063","orange-ATLAS","2024-12-18 05:45:05.760","ATLAS_Bot1","","","",""
"168479","AT 2024aeev","23:12:11.765","+11:54:38.40","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rlt","ATLAS-HKO - ATLAS-02","","1","1","","19.268","orange-ATLAS","2024-12-18 06:10:09.120","ATLAS_Bot1","","","",""
"168478","AT 2024aeeu","23:04:37.535","+20:11:34.45","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rls","ATLAS-HKO - ATLAS-02","","1","1","","18.963","orange-ATLAS","2024-12-18 06:12:46.368","ATLAS_Bot1","","","",""
"168477","AT 2024aeet","05:33:29.043","-35:21:53.90","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rlr","ATLAS-CHL - ATLAS-04","","1","1","","18.754","orange-ATLAS","2024-12-18 05:14:02.112","ATLAS_Bot1","","","",""
"168476","AT 2024aees","10:26:54.239","-36:03:00.56","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J102654.23-360300.5","BG2 - BlackGEM-Cam2, BG3 - BlackGEM-Cam3","","1","1","","19.58","BG-q-BlackGem","2024-12-18 06:47:31.000","BlackGEM_Bot1","","","",""
"168475","AT 2024aeer","23:24:46.079","-35:18:49.14","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rlp","ATLAS-CHL - ATLAS-04","","1","1","","18.631","orange-ATLAS","2024-12-18 01:28:42.240","ATLAS_Bot1","","","",""
"168474","AT 2024aeeq","23:21:00.690","+29:31:54.43","","","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","","ATLAS; Pan-STARRS","ATLAS24rln","ATLAS-HKO - ATLAS-02, PS1 - GPC1","","1","1","","19.211","orange-ATLAS","2024-12-18 06:21:16.128","ATLAS_Bot1","","","",""
"168473","AT 2024aeep","12:27:22.889","+11:19:54.97","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24msw","PS1 - GPC1","","1","1","","20.05","r-P1","2024-12-17 15:19:22.944","YSE_Bot1","","","",""
"168472","AT 2024aeeo","19:55:09.744","-83:06:44.87","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rlg","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","17.79","orange-ATLAS","2024-12-17 18:46:48.864","ATLAS_Bot1","","","",""
