"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170294","AT 2025cz","09:30:50.468","+49:54:03.58","","","SDSS J093050.42+495402.3","0.1095752","SGLF","ZTF","","SGLF, ZTF","ZTF25aaamujv","P48 - ZTF-Cam","","1","1","","19.603","g-ZTF","2025-01-04 06:15:50.000","Ismael Perez-Fournon","","","","","",""
"170292","SN 2025cy","13:21:13.448","-43:41:01.16","SN Ia","0.011","","","BlackGEM","BlackGEM","BlackGEM","BlackGEM","BGEM J132113.44-434101.1","BG3 - BlackGEM-Cam3, BG4 - BlackGEM-Cam4","Lesedi - Mookodi","1","1","","18.03","BG-q-BlackGem","2025-01-01 07:46:35.000","BlackGEM_Bot1","","","","","",""
"170291","AT 2025cx","07:08:52.011","-22:38:18.40","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J070852.01-223818.4","BG4 - BlackGEM-Cam4","","1","1","","20.48","BG-q-BlackGem","2025-01-05 03:45:59.000","BlackGEM_Bot1","","","","","",""
"170290","AT 2025cw","00:30:58.284","+25:08:10.33","","","","","ZTF","ZTF","","ZTF","ZTF25aaakjsi","P48 - ZTF-Cam","","1","1","","20.0275","g-ZTF","2025-01-04 02:52:33.000","Fritz","","","","","",""
"170289","AT 2025cv","00:12:09.564","+30:48:05.92","","","","","ZTF","ZTF","","ZTF","ZTF25aaaktqb","P48 - ZTF-Cam","","1","1","","20.4007","g-ZTF","2025-01-02 02:21:16.004","Fritz","","","","","",""
"170287","AT 2025cu","04:03:13.627","+35:03:40.26","","","","","ZTF","ZTF","","ZTF","ZTF25aaaluwi","P48 - ZTF-Cam","","1","1","","20.0504","r-ZTF","2025-01-04 04:44:36.000","Fritz","","","","","",""
"170284","AT 2025ct","20:58:18.443","+76:08:17.99","","","","","ZTF","ZTF","","ZTF","ZTF25aaatxbk","P48 - ZTF-Cam","","1","1","","20.5","r-ZTF","2025-01-02 03:22:28.004","Fritz","","","","","",""
"170283","AT 2025cs","12:06:22.264","+10:59:40.64","","","","","ZTF","ZTF","","ZTF","ZTF25aaaexpe","P48 - ZTF-Cam","","1","1","","19.099","g-ZTF","2025-01-03 09:36:37.998","Fritz","","","","","",""
"170282","AT 2025cr","10:14:18.545","-35:05:33.81","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25afu","ATLAS-STH - ATLAS-03","","1","1","","19.163","cyan-ATLAS","2025-01-05 00:06:21.888","ATLAS_Bot1","","","","","",""
"170280","AT 2025cq","08:08:28.516","+63:39:59.81","","","WISEA J080828.00+634006.1","","ALeRCE","ZTF","","ZTF","ZTF25aaaoerf","P48 - ZTF-Cam","","1","1","","20.5868","r-ZTF","2025-01-01 06:23:06.996","ALeRCE","","","2025TNSTR..55....1F","","",""
"170279","AT 2025cp","13:14:07.432","+44:41:40.25","","","SDSS J131407.26+444139.2","0.09160803","ALeRCE","ZTF","","ZTF","ZTF25aaataex","P48 - ZTF-Cam","","1","1","","19.2876","g-ZTF","2025-01-05 10:50:35.002","ALeRCE","","","2025TNSTR..55....1F","","",""
