"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170251","AT 2025bv","05:18:21.170","+32:35:33.80","","","","","XOSS","XOSS","","XOSS","KATS25A007","Other - Other","","1","1","","18.83","Clear-","2025-01-04 16:15:11.808","Mi Zhang","","","","","",""
"170250","AT 2025bu","03:22:09.373","-18:52:24.34","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J032209.37-185224.3","BG4 - BlackGEM-Cam4","","1","1","","20.23","BG-q-BlackGem","2025-01-03 01:18:17.000","BlackGEM_Bot1","","","2025TNSTR..46....1G","","",""
"170249","AT 2025bt","14:08:34.946","-32:59:00.65","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J140834.94-325900.6","BG2 - BlackGEM-Cam2","","1","1","","20.16","BG-q-BlackGem","2025-01-03 08:09:09.000","BlackGEM_Bot1","","","2025TNSTR..46....1G","","",""
"170247","AT 2025bs","13:56:52.841","+44:54:21.80","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aez","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.518","orange-ATLAS","2025-01-04 14:03:26.208","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
"170246","AT 2025br","16:04:18.012","+43:40:51.56","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aey","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.341","orange-ATLAS","2025-01-04 15:09:43.200","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
"170245","AT 2025bq","01:20:46.569","+44:31:44.92","","","SDSS J012046.60+443144.9","","ALeRCE","ZTF","","ZTF","ZTF25aaaawig","P48 - ZTF-Cam","","1","1","","19.4149","r-ZTF","2025-01-02 03:29:31.001","ALeRCE","","","2025TNSTR..43....1F","","",""
"170242","AT 2025bp","00:55:11.169","+02:04:00.89","","","2MASX J00551118+0203579","0.08614","ALeRCE","ZTF","","ZTF","ZTF25aaakjli","P48 - ZTF-Cam","","1","1","","19.6664","g-ZTF","2025-01-04 02:54:37.002","ALeRCE","","","2025TNSTR..43....1F","","",""
"170241","AT 2025bo","23:08:27.501","+23:42:30.37","","","SDSS J230827.46+234228.9","","ALeRCE","ZTF","","ZTF","ZTF25aaakman","P48 - ZTF-Cam","","1","1","","20.6115","g-ZTF","2025-01-04 02:34:23.998","ALeRCE","","","2025TNSTR..43....1F","","",""
"170240","AT 2025bn","00:04:00.235","+34:19:43.19","","","SDSS J000400.18+341944.6","0.08989208","ALeRCE","ZTF","","ZTF","ZTF25aaaktmc","P48 - ZTF-Cam","","1","1","","19.4485","r-ZTF","2025-01-04 03:47:11.000","ALeRCE","","","2025TNSTR..43....1F","","",""
"170239","AT 2025bm","00:42:49.761","+41:16:47.23","","","M31","0.001341","ALeRCE","ZTF","","ZTF","ZTF25aaakxjj","P48 - ZTF-Cam","","1","1","","18.7488","r-ZTF","2025-01-04 03:58:08.996","ALeRCE","","","2025TNSTR..43....1F","","",""
"170237","AT 2025bl","07:48:54.829","+85:45:45.34","","","","","ATLAS, ZTF","ATLAS, ZTF","","ATLAS, ZTF","ATLAS25aew","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","","1","1","","17.369","orange-ATLAS","2025-01-04 14:12:52.128","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
