"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170034","AT 2024aggw","06:16:25.495","-35:12:37.31","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24scb","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.061","cyan-ATLAS","2024-12-31 01:10:36.192","ATLAS_Bot1","","","2024TNSTR5168....1T","","",""
"170033","AT 2024aggv","16:39:15.094","+38:47:42.64","","","SDSS J163915.09+384743.1","","ALeRCE","ZTF","","ZTF","ZTF24abyhmih","P48 - ZTF-Cam","","1","1","","19.8919","r-ZTF","2024-12-31 12:50:56.996","ALeRCE","","","2024TNSTR5167....1M","","",""
"170026","AT 2024aggo","17:01:02.922","+76:22:32.35","","","SDSS J170102.71+762236.5","","ALeRCE","ZTF","","ZTF","ZTF24abzwreb","P48 - ZTF-Cam","","1","1","","19.2972","r-ZTF","2024-12-31 12:53:00.997","ALeRCE","","","2024TNSTR5167....1M","","",""
"170025","AT 2024aggn","22:43:25.183","+54:21:44.49","","","","","ALeRCE","ZTF","","ZTF","ZTF24acaclrl","P48 - ZTF-Cam","","1","1","","20.0777","g-ZTF","2024-12-31 02:18:49.997","ALeRCE","","","2024TNSTR5167....1M","","",""
"170022","AT 2024aggk","02:14:50.998","+29:03:48.09","","","SDSS J021450.97+290348.0","","ALeRCE","ZTF","","ZTF","ZTF24acadeyn","P48 - ZTF-Cam","","1","1","","20.0308","r-ZTF","2024-12-31 03:57:03.004","ALeRCE","","","2024TNSTR5167....1M","","",""
"170021","AT 2024aggj","01:47:30.811","+68:55:45.07","","","WISEA J014730.41+685549.4","","ALeRCE","ZTF","","ZTF","ZTF24acadkzi","P48 - ZTF-Cam","","1","1","","19.9791","r-ZTF","2024-12-31 04:20:19.003","ALeRCE","","","2024TNSTR5167....1M","","",""
"170020","AT 2024aggi","02:30:08.128","+32:18:26.57","","","WISEA J023008.06+321825.7","","ALeRCE","ZTF","","ZTF","ZTF24acadyyl","P48 - ZTF-Cam","","1","1","","19.9522","r-ZTF","2024-12-31 04:46:08.000","ALeRCE","","","2024TNSTR5167....1M","","",""
"170019","AT 2024aggh","15:06:22.985","+47:05:25.68","","","SDSS J150623.15+470527.8","0.08809","ALeRCE","ZTF","","ZTF","ZTF24acahpvk","P48 - ZTF-Cam","","1","1","","19.4238","r-ZTF","2024-12-31 11:53:20.996","ALeRCE","","","2024TNSTR5167....1M","","",""
"170018","AT 2024aggg","11:25:48.262","-10:19:52.42","","","SDSS J112548.22-101953.4","","ALeRCE","ZTF","","ZTF","ZTF24acahruq","P48 - ZTF-Cam","","1","1","","19.117","g-ZTF","2024-12-31 11:23:54.004","ALeRCE","","","2024TNSTR5167....1M","","",""
"170017","AT 2024aggf","16:11:55.277","+61:23:34.51","","","SDSS J161155.38+612334.5","","ALeRCE","ZTF","","ZTF","ZTF24acahuab","P48 - ZTF-Cam","","1","1","","19.6152","g-ZTF","2024-12-31 12:23:59.001","ALeRCE","","","2024TNSTR5167....1M","","",""
"170016","AT 2024agge","14:35:24.948","+24:07:20.77","","","SDSS J143524.94+240720.3","","ALeRCE","ZTF","","ZTF","ZTF24acahubb","P48 - ZTF-Cam","","1","1","","20.0268","r-ZTF","2024-12-31 11:58:48.996","ALeRCE","","","2024TNSTR5167....1M","","",""
"170015","AT 2024aggd","14:21:55.255","+28:58:50.21","","","SDSS J142155.28+285850.1","","ALeRCE","ZTF","","ZTF","ZTF24acahubi","P48 - ZTF-Cam","","1","1","","20.0467","r-ZTF","2024-12-31 11:58:48.996","ALeRCE","","","2024TNSTR5167....1M","","",""
"170006","AT 2024agfu","05:00:13.668","-22:11:07.87","","","","","ATLAS, GOTO","ATLAS, GOTO","","ATLAS, GOTO","ATLAS24scc","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","18.878","cyan-ATLAS","2024-12-31 01:19:18.048","ATLAS_Bot1","","","2024TNSTR5168....1T","","",""
"170005","AT 2024agft","05:44:35.511","+31:56:16.50","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sch","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.137","orange-ATLAS","2024-12-31 10:10:56.928","ATLAS_Bot1","","","2024TNSTR5168....1T","","",""
