"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168525","AT 2024aegp","02:50:50.467","+45:58:03.39","","","","","ZTF","ZTF","","ZTF","ZTF24abyehsi","P48 - ZTF-Cam","","1","1","","18.7417","r-ZTF","2024-12-19 06:54:40.003","Fritz","","","",""
"168522","AT 2024aegm","07:06:14.392","+23:35:10.28","","","","","ZTF","ZTF","","ZTF","ZTF24abyfijk","P48 - ZTF-Cam","","1","1","","17.0953","r-ZTF","2024-12-19 08:19:01.004","Fritz","","","",""
"168511","AT 2024aegb","09:33:46.251","+43:01:04.18","","","","","ZTF","ZTF","","ZTF","ZTF24abyekog","P48 - ZTF-Cam","","1","1","","19.5912","r-ZTF","2024-12-19 07:21:59.996","Fritz","","","",""
"168504","AT 2024aefu","02:19:10.208","+15:59:27.16","","","","","ZTF","ZTF","","ZTF","ZTF24abydvcs","P48 - ZTF-Cam","","1","1","","19.1342","g-ZTF","2024-12-19 05:55:56.999","Fritz","","","",""
"168499","AT 2024aefp","02:00:25.548","-15:01:23.79","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rmb","ATLAS-CHL - ATLAS-04","","1","1","","18.882","orange-ATLAS","2024-12-19 02:00:23.040","ATLAS_Bot1","","","",""
"168490","AT 2024aefg","00:28:36.636","-27:30:24.40","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rlz","ATLAS-CHL - ATLAS-04","","1","1","","18.886","orange-ATLAS","2024-12-18 02:03:59.040","ATLAS_Bot1","","2024TNSTR4950....1T","",""
"168489","AT 2024aeff","00:19:28.908","+47:06:22.84","","","","","GOTO","GOTO","","GOTO","GOTO24jcb","GOTO-N - GOTO-1","","1","1","","19.26","L-GOTO","2024-12-18 20:48:35.712","GOTO_bot","","2024TNSTR4954....1K","",""
"168488","AT 2024aefe","14:39:10.295","+29:13:01.64","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rlx","ATLAS-HKO - ATLAS-02","","1","1","","18.312","orange-ATLAS","2024-12-18 14:31:37.056","ATLAS_Bot1","","2024TNSTR4950....1T","",""
"168487","AT 2024aefd","02:18:32.458","-15:11:08.56","","","","","YSE, ATLAS","Pan-STARRS, ATLAS","","ATLAS; Pan-STARRS; YSE","PS24msz","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, PS2 - GPC2","","1","1","","19.3","i-P1","2024-12-18 06:27:38.016","YSE_Bot1","","2024TNSTR4955....1J","",""
"168484","AT 2024aefa","05:00:06.504","+24:31:27.54","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rlv","ATLAS-HKO - ATLAS-02","","1","1","","18.544","orange-ATLAS","2024-12-18 10:40:04.800","ATLAS_Bot1","","2024TNSTR4950....1T","",""
"168481","AT 2024aeex","22:37:22.122","+11:41:57.54","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rlu","ATLAS-HKO - ATLAS-02","","1","1","","19.063","orange-ATLAS","2024-12-18 05:45:05.760","ATLAS_Bot1","","2024TNSTR4950....1T","",""
"168479","AT 2024aeev","23:12:11.765","+11:54:38.40","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rlt","ATLAS-HKO - ATLAS-02","","1","1","","19.268","orange-ATLAS","2024-12-18 06:10:09.120","ATLAS_Bot1","","2024TNSTR4950....1T","",""
"168478","AT 2024aeeu","23:04:37.535","+20:11:34.45","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rls","ATLAS-HKO - ATLAS-02","","1","1","","18.963","orange-ATLAS","2024-12-18 06:12:46.368","ATLAS_Bot1","","2024TNSTR4950....1T","",""
"168477","AT 2024aeet","05:33:29.043","-35:21:53.90","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rlr","ATLAS-CHL - ATLAS-04","","1","1","","18.754","orange-ATLAS","2024-12-18 05:14:02.112","ATLAS_Bot1","","2024TNSTR4950....1T","",""
"168476","AT 2024aees","10:26:54.239","-36:03:00.56","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J102654.23-360300.5","BG2 - BlackGEM-Cam2, BG3 - BlackGEM-Cam3","","1","1","","19.58","BG-q-BlackGem","2024-12-18 06:47:31.000","BlackGEM_Bot1","","2024TNSTR4951....1T","",""
"168475","AT 2024aeer","23:24:46.079","-35:18:49.14","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rlp","ATLAS-CHL - ATLAS-04","","1","1","","18.631","orange-ATLAS","2024-12-18 01:28:42.240","ATLAS_Bot1","","2024TNSTR4950....1T","",""
"168474","AT 2024aeeq","23:21:00.690","+29:31:54.43","","","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","","ATLAS; Pan-STARRS","ATLAS24rln","ATLAS-HKO - ATLAS-02, PS1 - GPC1","","1","1","","19.211","orange-ATLAS","2024-12-18 06:21:16.128","ATLAS_Bot1","","2024TNSTR4950....1T","",""
"168473","AT 2024aeep","12:27:22.889","+11:19:54.97","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24msw","PS1 - GPC1","","1","1","","20.05","r-P1","2024-12-17 15:19:22.944","YSE_Bot1","","2024TNSTR4955....1J","",""
"168472","AT 2024aeeo","19:55:09.744","-83:06:44.87","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rlg","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","17.79","orange-ATLAS","2024-12-17 18:46:48.864","ATLAS_Bot1","","2024TNSTR4950....1T","",""
"168462","SN 2024aeee","08:14:50.879","+73:34:44.02","SN II","0.0116","NGC2523","","GOTO, ZTF","GOTO, ZTF","GOTO","GOTO; ZTF","","GOTO-N - GOTO-1, GOTO-N - GOTO-2, Other - Other, P48 - ZTF-Cam","LT - SPRAT","1","1","","16.5","Clear-","2024-12-17 15:29:00.000","Ono","","2024TNSTR4938....1O","",""
"168461","AT 2024aeed","14:08:22.912","+16:55:42.44","","","","","ATLAS, GOTO","ATLAS, GOTO","","ATLAS; GOTO","ATLAS24rlf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1","","1","1","","18.252","orange-ATLAS","2024-12-17 14:55:16.608","ATLAS_Bot1","","2024TNSTR4936....1T","",""
"168460","AT 2024aeec","12:06:39.755","+25:45:12.01","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rle","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.051","orange-ATLAS","2024-12-17 13:45:34.848","ATLAS_Bot1","","2024TNSTR4936....1T","",""
