"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168620","AT 2024aekf","23:28:05.056","+21:52:14.37","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24mug","PS1 - GPC1","","1","1","","19.97","r-P1","2024-12-20 06:49:12.288","YSE_Bot1","","","",""
"168619","AT 2024aeke","00:37:11.574","+02:48:33.19","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24mui","PS1 - GPC1","","1","1","","19.82","i-P1","2024-12-20 05:02:12.768","YSE_Bot1","","","",""
"168618","AT 2024aekd","03:50:36.102","-19:01:19.35","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24muh","PS2 - GPC2","","1","1","","20.32","i-P1","2024-12-20 07:11:59.136","YSE_Bot1","","","",""
"168617","AT 2024aekc","00:30:15.008","+16:56:27.30","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24muf","PS1 - GPC1","","1","1","","20.31","r-P1","2024-12-20 06:55:10.848","YSE_Bot1","","","",""
"168616","AT 2024aekb","04:22:16.949","-21:13:38.72","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24mue","PS1 - GPC1","","1","1","","20.03","r-P1","2024-12-20 08:29:16.224","YSE_Bot1","","","",""
"168611","AT 2024aejw","15:57:19.343","+54:40:07.81","","","","","ZTF","ZTF","","ZTF","ZTF24abyhmba","P48 - ZTF-Cam","","1","1","","18.4679","i-ZTF","2024-12-19 13:10:24.000","Fritz","","","",""
"168610","AT 2024aejv","16:02:58.918","+53:37:08.00","","","","","ZTF","ZTF","","ZTF","ZTF24abylbgi","P48 - ZTF-Cam","","1","1","","19.9503","g-ZTF","2024-12-20 12:24:39.997","Fritz","","","",""
"168609","AT 2024aeju","15:21:04.987","-08:40:23.59","","","","","ZTF","ZTF","","ZTF","ZTF24abyhowu","P48 - ZTF-Cam","","1","1","","19.1556","r-ZTF","2024-12-19 13:35:17.001","Fritz","","","",""
"168608","AT 2024aejt","05:37:23.880","+33:07:18.40","","","","","XOSS","XOSS","","XOSS","KATS24Y004","Other - Other","","1","1","","18.61","Clear-","2024-12-18 19:20:13.344","Zhang","","","",""
"168607","AT 2024aejs","11:02:31.148","-16:50:21.85","","","","","ZTF","ZTF","","ZTF","ZTF24abyksvh","P48 - ZTF-Cam","","1","1","","18.6992","g-ZTF","2024-12-20 11:04:44.002","Fritz","","","",""
"168603","AT 2024aejo","15:12:36.933","+32:33:52.09","","","","","ZTF","ZTF","","ZTF","ZTF24abykwta","P48 - ZTF-Cam","","1","1","","19.4498","r-ZTF","2024-12-20 11:46:40.998","Fritz","","","",""
