"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168572","AT 2024aeij","13:55:52.400","-28:27:20.20","","","","","MASTER","MASTER","","MASTER","MASTER OT J135552.40-282720.2","Other - Other","","1","1","","18.4","Clear-","2024-12-19 07:38:27.168","MASTER","","","",""
"168571","AT 2024aeii","04:35:57.140","-47:15:06.50","","","","","MASTER","MASTER","","MASTER","MASTER OT J043557.14-471506.5","Other - Other","","1","1","","19.9","Clear-","2024-12-19 05:04:05.952","MASTER","","","",""
"168570","AT 2024aeih","04:43:59.700","-49:41:03.30","","","","","MASTER","MASTER","","MASTER","MASTER OT J044359.70-494103.3","Other - Other","","1","1","","20.4","Clear-","2024-12-19 05:00:29.952","MASTER","","","",""
"168569","AT 2024aeig","22:11:15.614","-32:06:40.82","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rmy","ATLAS-CHL - ATLAS-04","","1","1","","18.507","orange-ATLAS","2024-12-18 01:06:05.760","ATLAS_Bot1","","","",""
"168567","AT 2024aeie","01:56:34.003","-04:24:45.43","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24mty","PS2 - GPC2","","1","1","","20.74","w-P1","2024-12-18 05:31:22.368","PS1_Bot1","","","",""
"168562","AT 2024aehz","02:19:57.787","+00:05:52.95","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24mtt","PS1 - GPC1","","1","1","","20.64","w-P1","2024-12-18 05:23:16.800","PS1_Bot1","","","",""
"168560","AT 2024aehx","01:21:12.757","-03:32:47.49","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24mtn","PS2 - GPC2","","1","1","","20.77","w-P1","2024-12-18 05:23:04.704","PS1_Bot1","","","",""
"168559","AT 2024aehw","12:39:13.485","-33:11:04.61","","","","","GOTO","GOTO","","GOTO","GOTO24jde","GOTO-S - GOTO-3","","1","1","","18.74","L-GOTO","2024-12-19 17:15:20.736","GOTO_bot","","","",""
"168556","AT 2024aeht","23:13:45.208","+25:58:03.83","","","","","ALeRCE","ZTF","","ALeRCE","ZTF18adqqeae","P48 - ZTF-Cam","","1","1","","19.511","g-ZTF","2024-12-19 02:19:57.000","ALeRCE","","","",""
"168555","AT 2024aehs","23:16:19.267","-02:23:41.43","","","SDSS J231619.27-022341.7","","ALeRCE","ZTF","","ALeRCE","ZTF24abydkda","P48 - ZTF-Cam","","1","1","","19.815","r-ZTF","2024-12-19 03:05:13.001","ALeRCE","","","",""
"168554","AT 2024aehr","02:03:24.749","+39:26:09.77","","","","","ALeRCE","ZTF","","ALeRCE","ZTF24abyegeg","P48 - ZTF-Cam","","1","1","","20.1276","r-ZTF","2024-12-19 06:50:29.996","ALeRCE","","","",""
"168553","AT 2024aehq","07:30:34.151","+70:12:07.32","","","WISEA J073034.16+701207.1","","ALeRCE","ZTF","","ALeRCE","ZTF24abyfotc","P48 - ZTF-Cam","","1","1","","19.8343","r-ZTF","2024-12-19 08:58:25.997","ALeRCE","","","",""
