"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168821","AT 2024aerx","01:17:35.061","+38:15:55.18","","","","","ALeRCE","ZTF","","ALeRCE","ZTF24abzasey","P48 - ZTF-Cam","","1","1","","20.6595","g-ZTF","2024-12-23 02:53:48.998","ALeRCE","","","",""
"168820","AT 2024aerw","01:12:17.528","+48:14:05.66","","","SDSS J011217.46+481404.9","","ALeRCE","ZTF","","ALeRCE","ZTF24abzbwom","P48 - ZTF-Cam","","1","1","","19.9171","r-ZTF","2024-12-23 04:41:24.003","ALeRCE","","","",""
"168819","AT 2024aerv","03:27:56.375","-28:38:57.49","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24mwt","PS1 - GPC1","","1","1","","19.65","g-P1","2024-12-23 08:25:15.168","YSE_Bot1","","","",""
"168800","AT 2024aerc","10:39:39.354","-34:07:35.79","","","","","GOTO","GOTO","","GOTO","GOTO24jhv","GOTO-S - GOTO-4","","1","1","","20.29","L-GOTO","2024-12-23 14:27:35.136","GOTO_bot","","","",""
"168799","AT 2024aerb","10:34:13.681","-36:47:22.47","","","","","GOTO","GOTO","","GOTO","GOTO24jhu","GOTO-S - GOTO-4","","1","1","","19.99","L-GOTO","2024-12-23 14:27:35.136","GOTO_bot","","","",""
"168798","AT 2024aera","10:43:01.030","-37:32:47.95","","","","","GOTO","GOTO","","GOTO","GOTO24jht","GOTO-S - GOTO-4","","1","1","","17.09","L-GOTO","2024-12-23 14:16:04.800","GOTO_bot","","","",""
"168795","AT 2024aeqx","13:09:23.508","+54:00:31.90","","","","","ZTF","ZTF","","ZTF","ZTF24abzgbbf","P48 - ZTF-Cam","","1","1","","18.953","g-ZTF","2024-12-23 08:55:08.002","Fritz","","","",""
"168791","AT 2024aeqt","11:47:23.505","+22:24:28.01","","","","","ZTF","ZTF","","ZTF","ZTF18aaisvvo","P48 - ZTF-Cam","","1","1","","19.8452","g-ZTF","2024-12-23 11:19:01.997","Fritz","","","",""
"168790","AT 2024aeqs","04:27:01.819","-42:11:59.63","","","","","GOTO","GOTO","","GOTO","GOTO24jhn","GOTO-S - GOTO-4","","1","1","","15.93","L-GOTO","2024-12-23 12:38:20.832","GOTO_bot","","","",""
"168789","AT 2024aeqr","00:40:33.010","-48:45:09.99","","","","","GOTO","GOTO","","GOTO","GOTO24jhm","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","19.72","L-GOTO","2024-12-23 12:07:56.064","GOTO_bot","","","",""
"168783","AT 2024aeql","13:25:15.395","-42:58:33.75","","","","","BlackGEM, ULL-ASTRO-MASTER","BlackGEM, ULL-ASTRO-MASTER","","BlackGEM; ULL-ASTRO-MASTER","BGEM J132515.39-425833.7","BG2 - BlackGEM-Cam2, LCO1m - Sinistro","","1","1","","18.47","BG-q-BlackGem","2024-12-23 08:20:36.000","BlackGEM_Bot1","","","",""
"168776","AT 2024aeqe","00:33:15.109","+14:26:36.19","","","","","ZTF","ZTF","","ZTF","ZTF24abzapei","P48 - ZTF-Cam","","1","1","","19.6045","g-ZTF","2024-12-23 02:34:11.003","Fritz","","","",""
"168774","AT 2024aeqc","23:14:56.358","+46:34:45.19","","","","","ZTF","ZTF","","ZTF","ZTF24abzasaz","P48 - ZTF-Cam","","1","1","","19.2249","g-ZTF","2024-12-23 02:50:23.997","Fritz","","","",""
"168773","AT 2024aeqb","23:23:11.146","+01:55:00.48","","","","","ZTF","ZTF","","ZTF","ZTF24abzaqzi","P48 - ZTF-Cam","","1","1","","19.3337","g-ZTF","2024-12-23 02:40:18.998","Fritz","","","",""
"168769","AT 2024aepx","05:42:09.316","-20:04:38.04","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rre","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.632","cyan-ATLAS","2024-12-22 22:28:23.232","ATLAS_Bot1","","","",""
"168767","AT 2024aepv","00:34:08.059","-29:33:27.01","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rrb","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.343","cyan-ATLAS","2024-12-22 20:04:00.768","ATLAS_Bot1","","2024TNSTR5012....1T","",""
"168766","AT 2024aepu","03:27:01.480","-31:24:26.68","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rqt","ATLAS-CHL - ATLAS-04","","1","1","","19.385","orange-ATLAS","2024-12-22 03:20:37.248","ATLAS_Bot1","","2024TNSTR5012....1T","",""
"168764","AT 2024aeps","01:31:13.537","-23:11:23.11","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rqq","ATLAS-CHL - ATLAS-04","","1","1","","19.045","orange-ATLAS","2024-12-22 02:02:29.184","ATLAS_Bot1","","2024TNSTR5012....1T","",""
"168763","AT 2024aepr","11:00:07.580","+15:44:56.83","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rqk","ATLAS-HKO - ATLAS-02","","1","1","","18.73","orange-ATLAS","2024-12-22 13:36:02.016","ATLAS_Bot1","","2024TNSTR5012....1T","",""
"168762","AT 2024aepq","22:46:17.454","-25:43:38.05","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rqe","ATLAS-CHL - ATLAS-04","","1","1","","18.945","orange-ATLAS","2024-12-22 01:22:39.360","ATLAS_Bot1","","2024TNSTR5012....1T","",""
"168761","AT 2024aepp","00:22:31.870","-24:54:09.83","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24mwo","PS2 - GPC2","","1","1","","20.9","g-P1","2024-12-22 05:22:11.136","YSE_Bot1","","2024TNSTR5018....1J","",""
"168760","AT 2024aepo","03:19:37.322","-19:58:37.07","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24mwn","PS2 - GPC2","","1","1","","20.49","g-P1","2024-12-22 06:46:35.904","YSE_Bot1","","2024TNSTR5018....1J","",""
"168759","AT 2024aepn","23:17:18.300","+07:40:18.39","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rqb","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.387","orange-ATLAS","2024-12-22 06:55:16.032","ATLAS_Bot1","","2024TNSTR5012....1T","",""
"168758","AT 2024aepm","00:00:15.249","-17:00:45.64","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rqa","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01","","1","1","","18.93","orange-ATLAS","2024-12-22 05:45:36.000","ATLAS_Bot1","","2024TNSTR5012....1T","",""
"168757","AT 2024aepl","11:10:07.257","+25:20:20.37","","","","","ATLAS, ZTF","ATLAS, ZTF","","ATLAS; ZTF","ATLAS24rpz","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","","1","1","","18.198","orange-ATLAS","2024-12-22 13:35:23.136","ATLAS_Bot1","","2024TNSTR5012....1T","",""
"168753","AT 2024aeph","00:05:11.299","-12:22:40.26","","","","","ALeRCE","ZTF","","ALeRCE","ZTF24abyvidz","P48 - ZTF-Cam","","1","1","","19.3762","g-ZTF","2024-12-22 02:51:47.002","ALeRCE","","2024TNSTR5011....1F","",""
"168750","AT 2024aepe","21:54:44.035","-57:15:09.30","","","","","GOTO","GOTO","","GOTO","GOTO24jgi","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","19.05","L-GOTO","2024-12-22 10:36:53.856","GOTO_bot","","2024TNSTR5015....1K","",""
"168742","AT 2024aeow","06:12:54.233","-22:56:48.36","","","","","GOTO","GOTO","","GOTO","GOTO24jgq","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","19.55","L-GOTO","2024-12-22 12:12:04.896","GOTO_bot","","2024TNSTR5016....1O","",""
"168740","AT 2024aeou","23:56:49.411","-34:42:42.26","","","","","GOTO, ATLAS","GOTO, ATLAS","","ATLAS; GOTO","GOTO24jgh","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-4","","1","1","","18.36","L-GOTO","2024-12-22 10:51:35.136","GOTO_bot","","2024TNSTR5014....1K","",""
"168717","AT 2024aenx","01:21:38.571","-46:00:44.34","","","","","ATLAS, GOTO","ATLAS, GOTO","","ATLAS; GOTO","ATLAS24rpw","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3","","1","1","","19.178","cyan-ATLAS","2024-12-21 19:32:12.192","ATLAS_Bot1","","2024TNSTR5012....1T","",""
"168715","AT 2024aenv","04:23:06.840","-34:03:19.01","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rpt","ATLAS-CHL - ATLAS-04","","1","1","","19.267","orange-ATLAS","2024-12-22 03:45:59.616","ATLAS_Bot1","","2024TNSTR5012....1T","",""
"168714","AT 2024aenu","00:47:57.208","-42:13:11.23","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J004757.20-421311.2","BG4 - BlackGEM-Cam4","","1","1","","20","BG-q-BlackGem","2024-12-22 01:37:00.000","BlackGEM_Bot1","","2024TNSTR5013....1G","",""
