"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168917","AT 2024aevp","11:57:30.044","-14:38:19.22","","","","","ZTF","ZTF","","ZTF","ZTF24abzlfhf","P48 - ZTF-Cam","","1","1","","17.854","r-ZTF","2024-12-24 11:04:37.997","Fritz","","","",""
"168915","AT 2024aevn","04:04:02.510","-54:06:00.30","","","NGC1515","","","","","","","Other - Other","","1","1","","13.7","G-Gaia","2024-12-24 03:39:30.000","Merlin","","","",""
"168913","AT 2024aevl","07:40:15.640","-17:39:54.30","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J074015.64-173954.2","BG2 - BlackGEM-Cam2, BG3 - BlackGEM-Cam3","","1","1","","19.28","BG-q-BlackGem","2024-12-24 04:42:41.000","BlackGEM_Bot1","","","",""
"168903","AT 2024aevb","02:53:02.684","-09:30:55.71","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rsv","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","","1","1","","18.955","orange-ATLAS","2024-12-24 08:04:56.064","ATLAS_Bot1","","","",""
"168901","AT 2024aeuz","23:04:46.707","-34:56:11.12","","","","","GOTO","GOTO","","GOTO","GOTO24jif","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","19.61","L-GOTO","2024-12-24 10:38:07.296","GOTO_bot","","","",""
"168900","AT 2024aeuy","00:18:23.837","-44:57:51.08","","","","","GOTO","GOTO","","GOTO","GOTO24jig","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","19.48","L-GOTO","2024-12-24 11:06:30.240","GOTO_bot","","","",""
"168890","AT 2024aeuo","10:06:23.434","+03:25:22.47","","","","","BlackGEM, ZTF","BlackGEM, ZTF","","BlackGEM; ZTF","BGEM J100623.43+032522.4","BG4 - BlackGEM-Cam4, P48 - ZTF-Cam","","1","1","","19.42","BG-q-BlackGem","2024-12-24 05:59:48.000","BlackGEM_Bot1","","","",""
"168889","AT 2024aeun","07:04:31.070","+18:38:54.99","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J070431.06+183854.9","BG2 - BlackGEM-Cam2","","1","1","","17.6","BG-q-BlackGem","2024-12-24 04:35:29.000","BlackGEM_Bot1","","","",""
"168884","AT 2024aeui","23:16:51.864","+09:15:28.97","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rsu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.197","orange-ATLAS","2024-12-24 05:13:31.008","ATLAS_Bot1","","","",""
"168883","AT 2024aeuh","00:40:29.154","+06:41:22.16","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rst","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.907","orange-ATLAS","2024-12-24 06:19:34.176","ATLAS_Bot1","","","",""
"168882","AT 2024aeug","08:46:47.079","-43:45:48.79","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rsr","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.97","orange-ATLAS","2024-12-24 04:58:16.032","ATLAS_Bot1","","","",""
"168880","AT 2024aeue","05:06:07.835","-17:12:15.14","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J050607.83-171215.1","BG3 - BlackGEM-Cam3, BG4 - BlackGEM-Cam4","","1","1","","19.99","BG-q-BlackGem","2024-12-24 01:39:54.000","BlackGEM_Bot1","","","",""
"168878","AT 2024aeuc","06:40:15.990","+29:23:44.70","","","","","XOSS","XOSS","","XOSS","KATS24Y005","Other - Other","","1","1","","18.22","Clear-","2024-12-23 20:01:26.976","Zhang","","","",""
"168841","AT 2024aesr","00:25:14.429","+36:02:54.19","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24mxe","PS2 - GPC2","","1","1","","20.29","g-P1","2024-12-23 05:04:14.592","YSE_Bot1","","2024TNSTR5034....1J","",""
"168821","AT 2024aerx","01:17:35.061","+38:15:55.18","","","","","ALeRCE","ZTF","","ALeRCE","ZTF24abzasey","P48 - ZTF-Cam","","1","1","","20.6595","g-ZTF","2024-12-23 02:53:48.998","ALeRCE","","2024TNSTR5024....1M","",""
"168820","AT 2024aerw","01:12:17.528","+48:14:05.66","","","SDSS J011217.46+481404.9","","ALeRCE","ZTF","","ALeRCE","ZTF24abzbwom","P48 - ZTF-Cam","","1","1","","19.9171","r-ZTF","2024-12-23 04:41:24.003","ALeRCE","","2024TNSTR5024....1M","",""
"168819","AT 2024aerv","03:27:56.375","-28:38:57.49","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24mwt","PS1 - GPC1","","1","1","","19.65","g-P1","2024-12-23 08:25:15.168","YSE_Bot1","","2024TNSTR5034....1J","",""
"168800","AT 2024aerc","10:39:39.354","-34:07:35.79","","","","","GOTO","GOTO","","GOTO","GOTO24jhv","GOTO-S - GOTO-4","","1","1","","20.29","L-GOTO","2024-12-23 14:27:35.136","GOTO_bot","","2024TNSTR5028....1K","",""
"168799","AT 2024aerb","10:34:13.681","-36:47:22.47","","","","","GOTO","GOTO","","GOTO","GOTO24jhu","GOTO-S - GOTO-4","","1","1","","19.99","L-GOTO","2024-12-23 14:27:35.136","GOTO_bot","","2024TNSTR5028....1K","",""
"168798","AT 2024aera","10:43:01.030","-37:32:47.95","","","","","GOTO","GOTO","","GOTO","GOTO24jht","GOTO-S - GOTO-4","","1","1","","17.09","L-GOTO","2024-12-23 14:16:04.800","GOTO_bot","","2024TNSTR5029....1O","",""
