"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168991","AT 2024aeyi","07:19:22.938","-36:52:32.91","","","","","GOTO","GOTO","","GOTO","GOTO24jki","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","19.24","L-GOTO","2024-12-25 13:15:35.136","GOTO_bot","","","",""
"168990","AT 2024aeyh","07:45:39.189","+06:16:37.43","","","","","GOTO","GOTO","","GOTO","GOTO24jka","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","19.5","L-GOTO","2024-12-25 12:48:08.352","GOTO_bot","","","",""
"168989","AT 2024aeyg","07:35:16.538","-72:01:22.50","","","","","GOTO","GOTO","","GOTO","GOTO24jjx","GOTO-S - GOTO-3","","1","1","","19.98","L-GOTO","2024-12-25 11:47:08.448","GOTO_bot","","","",""
"168988","AT 2024aeyf","12:05:47.545","+01:22:58.94","","","","","GOTO","GOTO","","GOTO","GOTO24jkx","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","19.02","L-GOTO","2024-12-25 17:28:52.896","GOTO_bot","","","",""
"168987","AT 2024aeye","14:52:51.239","+16:21:34.34","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rur","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.61","orange-ATLAS","2024-12-25 15:30:25.632","ATLAS_Bot1","","","",""
"168986","AT 2024aeyd","15:54:26.985","+18:31:28.29","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24ruq","ATLAS-HKO - ATLAS-02","","1","1","","18.255","orange-ATLAS","2024-12-25 15:22:26.112","ATLAS_Bot1","","","",""
"168985","AT 2024aeyc","15:51:26.794","+13:14:05.21","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rup","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.492","orange-ATLAS","2024-12-25 15:21:47.232","ATLAS_Bot1","","","",""
"168983","AT 2024aeya","23:43:05.419","-30:15:29.42","","","","","GOTO","GOTO","","GOTO","GOTO24jkd","GOTO-S - GOTO-3","","1","1","","19.55","L-GOTO","2024-12-25 10:23:41.568","GOTO_bot","","","",""
"168982","AT 2024aexz","11:10:51.190","+19:01:24.89","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24run","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.095","orange-ATLAS","2024-12-25 13:24:55.008","ATLAS_Bot1","","","",""
"168970","AT 2024aexn","21:07:22.823","+22:26:55.59","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rug","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","16.346","orange-ATLAS","2024-12-25 04:55:06.816","ATLAS_Bot1","","","",""
"168968","AT 2024aexl","06:01:06.713","-27:55:15.25","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rub","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.891","orange-ATLAS","2024-12-25 05:15:44.064","ATLAS_Bot1","","","",""
"168967","AT 2024aexk","20:47:03.978","+10:20:58.18","","","","","Tomo-e Gozen","Tomo-e Gozen","","Tomo-e Gozen","Tomo-e 202412aaaasgbxl","Other - Other","","1","1","","18.66","Clear-","2024-12-25 09:21:36.000","Sasaoka","","","",""
"168966","AT 2024aexj","22:07:43.596","-18:16:00.45","","","","","GOTO","GOTO","","GOTO","GOTO24jjw","GOTO-S - GOTO-4","","1","1","","18.38","L-GOTO","2024-12-25 10:19:00.768","GOTO_bot","","","",""
"168964","AT 2024aexh","23:10:43.234","-23:29:20.37","","","","","GOTO","GOTO","","GOTO","GOTO24jju","GOTO-N - GOTO-1, GOTO-S - GOTO-4","","1","1","","19.28","L-GOTO","2024-12-25 10:28:05.952","GOTO_bot","","","",""
"168963","AT 2024aexg","22:04:38.243","-16:57:43.31","","","","","GOTO","GOTO","","GOTO","GOTO24jjq","GOTO-S - GOTO-4","","1","1","","18.61","L-GOTO","2024-12-25 10:19:00.768","GOTO_bot","","","",""
"168962","AT 2024aexf","08:40:14.788","-02:36:08.36","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rty","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","","1","1","","18.987","orange-ATLAS","2024-12-24 12:49:22.656","ATLAS_Bot1","","","",""
"168946","AT 2024aews","11:45:27.815","-50:35:41.40","","","","","ATLAS, GOTO","ATLAS, GOTO","","ATLAS; GOTO","ATLAS24rtw","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","17.581","orange-ATLAS","2024-12-24 15:27:00.864","ATLAS_Bot1","","2024TNSTR5042....1T","",""
"168945","AT 2024aewr","12:34:39.233","+14:01:06.06","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rtu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.979","orange-ATLAS","2024-12-24 15:17:43.584","ATLAS_Bot1","","2024TNSTR5042....1T","",""
"168944","AT 2024aewq","12:46:33.302","+10:35:39.22","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rtt","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03","","1","1","","19.167","orange-ATLAS","2024-12-24 15:34:20.640","ATLAS_Bot1","","2024TNSTR5042....1T","",""
"168941","AT 2024aewn","09:30:00.291","+42:38:38.11","","","SDSS J093000.12+423839.0","","ALeRCE","ZTF","","ALeRCE","ZTF24abysppj","P48 - ZTF-Cam","","1","1","","20.1903","g-ZTF","2024-12-24 09:42:09.999","ALeRCE","","2024TNSTR5041....1M","",""
"168939","AT 2024aewl","10:44:58.069","+57:35:15.78","","","SDSS J104458.13+573518.9","","ALeRCE","ZTF","","ALeRCE","ZTF24abyzmqj","P48 - ZTF-Cam","","1","1","","19.9145","g-ZTF","2024-12-24 09:18:31.000","ALeRCE","","2024TNSTR5041....1M","",""
