"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"169672","AT 2024afyf","15:07:35.025","+26:53:25.28","","","","","GOTO","GOTO","","GOTO","GOTO24jrk","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","19.43","L-GOTO","2024-12-30 06:22:15.744","GOTO_bot","","","",""
"169671","AT 2024afye","15:08:59.881","+11:14:43.60","","","","","GOTO","GOTO","","GOTO","GOTO24jra","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","19.5","L-GOTO","2024-12-30 06:32:40.416","GOTO_bot","","","",""
"169670","AT 2024afyd","15:10:00.294","+10:54:21.42","","","","","GOTO","GOTO","","GOTO","GOTO24jrb","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","19.18","L-GOTO","2024-12-30 06:32:40.416","GOTO_bot","","","",""
"169669","AT 2024afyc","16:11:47.619","+29:34:24.17","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sax","ATLAS-HKO - ATLAS-02","","1","1","","18.597","orange-ATLAS","2024-12-29 14:56:44.736","ATLAS_Bot1","","","",""
"169662","AT 2024afxv","01:03:15.678","-12:11:09.79","","","","","ZTF","ZTF","","ZTF","ZTF24abzxlvu","P48 - ZTF-Cam","","1","1","","19.5448","g-ZTF","2024-12-30 02:58:10.997","Fritz","","","",""
"169657","AT 2024afxr","05:45:30.848","-58:54:19.26","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sak","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.523","cyan-ATLAS","2024-12-29 21:50:47.328","ATLAS_Bot1","","","",""
"169656","AT 2024afxq","04:03:36.690","-62:19:44.39","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24saj","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.178","cyan-ATLAS","2024-12-29 20:54:09.216","ATLAS_Bot1","","","",""
"169655","AT 2024afxp","02:30:30.330","+40:25:11.70","","","","","XOSS","XOSS","","XOSS","KATS24Y017","Other - Other","","1","1","","18.46","Clear-","2024-12-29 17:19:37.344","Zhang","","","",""
"169654","AT 2024afxo","23:53:27.120","-11:48:39.59","","","","","GOTO","GOTO","","GOTO","GOTO24jqf","GOTO-N - GOTO-1, GOTO-S - GOTO-3","","1","1","","18.82","L-GOTO","2024-12-29 21:11:21.696","GOTO_bot","","2024TNSTR5126....1K","",""
"169642","AT 2024afxc","06:08:06.685","-32:26:46.00","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sag","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.503","orange-ATLAS","2024-12-29 04:24:15.264","ATLAS_Bot1","","2024TNSTR5124....1T","",""
