"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170565","AT 2025lq","14:06:36.528","+00:03:53.28","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25akk","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.188","orange-ATLAS","2025-01-14 02:05:54.816","ATLAS_Bot1","","","","","",""
"170564","AT 2025lp","01:28:47.672","+24:29:24.86","","","","","ZTF","ZTF","","ZTF","ZTF25aabnyog","P48 - ZTF-Cam","","1","1","","18.9537","r-ZTF","2025-01-10 03:32:14.997","Fritz","","","","","",""
"170563","AT 2025lo","01:25:05.688","+29:25:48.12","","","","","ZTF","ZTF","","ZTF","ZTF25aaadavl","P48 - ZTF-Cam","","1","1","","19.9307","r-ZTF","2025-01-03 03:04:16.996","Fritz","","","","","",""
"170561","AT 2025ln","11:36:48.870","-26:14:08.19","","","","","ZTF","ZTF","","ZTF","ZTF25aabsmid","P48 - ZTF-Cam","","1","1","","18.8366","r-ZTF","2025-01-12 12:04:12.996","Fritz","","","2025TNSTR.175....1S","","",""
"170560","AT 2025lm","05:31:07.090","-68:43:55.16","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25ade","Gaia - Gaia-photometric","","1","1","","16.69","G-Gaia","2025-01-10 16:45:07.200","Gaia_Bot1","","","2025TNSTR.173....1H","","",""
"170559","AT 2025ll","07:07:47.660","-67:22:05.20","","","","","MASTER","MASTER","","MASTER","MASTER OT J070747.66-672205.2","Other - Other","","1","1","","17.8","Other-","2025-01-12 06:10:06.528","MASTER","","","2025TNSTR.174....1K","","",""
"170558","AT 2025lk","14:08:13.761","-10:16:34.43","","","","","ZTF","ZTF","","ZTF","ZTF25aaazvar","P48 - ZTF-Cam","","1","1","","19.8632","g-ZTF","2025-01-06 13:35:37.996","Fritz","","","2025TNSTR.175....1S","","",""
"170556","AT 2025lj","15:54:12.590","-67:05:33.60","","","","","MASTER","MASTER","","MASTER","MASTER OT J155412.59-670533.6","Other - Other","","1","1","","15.9","Other-","2025-01-12 06:22:12.288","MASTER","","","2025TNSTR.174....1K","","",""
"170555","AT 2025li","12:45:55.093","+17:29:35.35","","","","","ZTF","ZTF","","ZTF","ZTF25aabegog","P48 - ZTF-Cam","","1","1","","20.319","g-ZTF","2025-01-07 10:06:57.997","Fritz","","","2025TNSTR.175....1S","","",""
"170554","AT 2025lh","09:22:15.949","-12:08:43.09","","","","","ZTF","ZTF","","ZTF","ZTF25aabuadl","P48 - ZTF-Cam","","1","1","","19.6357","r-ZTF","2025-01-09 09:04:31.002","Fritz","","","2025TNSTR.175....1S","","",""
