"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170144","AT 2025S","16:02:23.660","+18:07:47.00","","","WISEA J160222.88+180741.7","0.061722","XOSS","XOSS","","XOSS","KATS25A001","Other - Other","","1","1","","18.92","Clear-","2025-01-02 23:22:37.920","Mi Zhang","","","","","",""
"170143","AT 2025R","03:45:51.802","-80:08:59.63","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aci","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.394","cyan-ATLAS","2025-01-02 20:11:25.728","ATLAS_Bot1","","","","","",""
"170142","AT 2025Q","04:41:42.967","-52:25:59.38","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25acg","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.358","cyan-ATLAS","2025-01-02 21:34:26.688","ATLAS_Bot1","","","","","",""
"170135","AT 2025P","21:39:03.882","+12:51:31.66","","","WISEA J213903.97+125132.6","","ALeRCE","ZTF","","ZTF","ZTF22aaubgiq","P48 - ZTF-Cam","","1","1","","18.9569","r-ZTF","2025-01-02 02:39:36.999","ALeRCE","","","2025TNSTR..17....1M","","",""
"170133","AT 2025O","15:19:43.705","+27:04:15.66","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25acd","ATLAS-HKO - ATLAS-02","","1","1","","18.78","orange-ATLAS","2025-01-02 14:54:46.368","ATLAS_Bot1","","","2025TNSTR..18....1T","","",""
"170132","AT 2025N","13:09:20.646","+46:14:23.44","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25abs","ATLAS-MLO - ATLAS-01","","1","1","","18.686","orange-ATLAS","2025-01-02 14:06:24.192","ATLAS_Bot1","","","2025TNSTR..18....1T","","",""
"170131","AT 2025M","03:02:12.910","+13:18:44.65","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS25k","PS2 - GPC2","","1","1","","21.05","w-P1","2025-01-01 05:12:26.208","PS1_Bot1","","","2025TNSTR..22....1C","","",""
"170124","AT 2025L","02:31:34.366","-23:00:40.20","","","","","YSE","Pan-STARRS","","Pan-STARRS","PS25e","PS2 - GPC2","","1","1","","18.94","g-P1","2025-01-02 05:42:39.744","YSE_Bot1","","","2025TNSTR..23....1J","","",""
"170117","AT 2025K","22:08:54.639","+67:37:10.20","","","","","LAST","LAST","","LAST","","LAST - LAST-Cam","","1","1","","19.07","Clear-","2025-01-01 16:03:04.320","LAST_Bot1","","","2025TNSTR..21....1K","","",""
"170110","AT 2025J","02:49:04.612","-22:14:01.25","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25abj","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.584","orange-ATLAS","2025-01-02 01:49:03.936","ATLAS_Bot1","","","2025TNSTR..18....1T","","",""
"170102","AT 2025I","09:55:46.313","-18:21:50.82","","","","","YSE","Pan-STARRS","","Pan-STARRS","PS25a","PS2 - GPC2","","1","1","","20.46","i-P1","2025-01-01 12:25:44.832","YSE_Bot1","","","2025TNSTR..23....1J","","",""
"170097","AT 2025H","12:20:12.958","+28:29:09.55","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aas","ATLAS-MLO - ATLAS-01","","1","1","","19.302","orange-ATLAS","2025-01-01 13:40:35.040","ATLAS_Bot1","","","2025TNSTR...2....1T","","",""
"170092","AT 2025G","05:59:15.118","+13:32:28.72","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aap","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01","","1","1","","19.287","orange-ATLAS","2025-01-01 09:54:11.232","ATLAS_Bot1","","","2025TNSTR...2....1T","","",""
"170091","AT 2025F","07:37:02.799","-01:43:56.69","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aan","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","","1","1","","19.451","orange-ATLAS","2025-01-01 12:56:52.800","ATLAS_Bot1","","","2025TNSTR...2....1T","","",""
"170090","AT 2025E","07:58:38.656","+07:57:48.49","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aam","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","","1","1","","19.359","orange-ATLAS","2025-01-01 13:23:38.976","ATLAS_Bot1","","","2025TNSTR...2....1T","","",""
"170089","AT 2025D","05:45:52.969","+01:52:30.12","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aal","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","","1","1","","19.079","orange-ATLAS","2025-01-01 12:50:09.312","ATLAS_Bot1","","","2025TNSTR...2....1T","","",""
