"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170365","AT 2025fe","02:20:28.761","+36:21:56.56","","","","","YSE","Pan-STARRS","","Pan-STARRS","PS25av","PS1 - GPC1","","1","1","","20.54","g-P1","2025-01-05 05:13:17.184","YSE_Bot1","","","","","",""
"170364","AT 2025fd","03:58:54.819","-23:38:20.56","","","","","YSE","Pan-STARRS","","Pan-STARRS","PS25au","PS1 - GPC1","","1","1","","20.44","g-P1","2025-01-06 07:26:55.104","YSE_Bot1","","","","","",""
"170363","AT 2025fc","10:19:55.114","-16:06:39.28","","","","","YSE","Pan-STARRS","","Pan-STARRS","PS25at","PS2 - GPC2","","1","1","","20.52","i-P1","2025-01-04 13:12:32.832","YSE_Bot1","","","","","",""
"170362","AT 2025fb","03:14:36.660","-16:20:07.88","","","","","YSE","Pan-STARRS","","Pan-STARRS","PS25as","PS2 - GPC2","","1","1","","20.53","i-P1","2025-01-06 06:58:52.032","YSE_Bot1","","","","","",""
"170361","AT 2025fa","11:17:12.471","+44:52:00.15","","","","","YSE","Pan-STARRS","","Pan-STARRS","PS25ar","PS2 - GPC2","","1","1","","18.22","r-P1","2025-01-05 11:44:44.160","YSE_Bot1","","","","","",""
"170360","AT 2025ez","06:26:04.712","+51:19:51.06","","","","","YSE","Pan-STARRS","","Pan-STARRS","PS25aq","PS2 - GPC2","","1","1","","20.82","g-P1","2025-01-06 09:03:15.264","YSE_Bot1","","","","","",""
"170359","AT 2025ey","16:12:51.180","+21:21:51.43","","","SDSS J161251.23+212151.8","","ALeRCE","ZTF","","ZTF","ZTF24abpqerw","P48 - ZTF-Cam","","1","1","","19.753","r-ZTF","2025-01-06 13:24:23.999","ALeRCE","","","","","",""
"170358","AT 2025ex","03:26:10.535","-07:10:59.30","","","SDSS J032610.53-071059.3","","ALeRCE","ZTF","","ZTF","ZTF25aaakvca","P48 - ZTF-Cam","","1","1","","20.1127","r-ZTF","2025-01-04 04:03:10.999","ALeRCE","","","","","",""
"170357","AT 2025ew","06:39:39.577","+35:48:15.32","","","SDSS J063939.49+354816.8","","ALeRCE","ZTF","","ZTF","ZTF25aaamwhw","P48 - ZTF-Cam","","1","1","","20.0483","g-ZTF","2025-01-04 06:29:32.997","ALeRCE","","","","","",""
"170356","AT 2025ev","01:04:09.006","+40:42:48.30","","","SDSS J010409.00+404248.9","","ALeRCE","ZTF","","ZTF","ZTF25aaatnmd","P48 - ZTF-Cam","","1","1","","20.6008","r-ZTF","2025-01-04 03:58:08.996","ALeRCE","","","","","",""
