"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"169690","AT 2024afyx","07:17:25.302","+15:48:44.62","","","","","","","","","","Other - Other","","1","1","","17.9","Clear-","2024-12-30 13:53:21.666","Mai","","","",""
"169688","AT 2024afyv","17:29:06.336","+18:10:24.77","","","","","ZTF","ZTF","","ZTF","ZTF24acacgbd","P48 - ZTF-Cam","","1","1","","19.4237","r-ZTF","2024-12-29 13:38:53.001","Fritz","","","",""
"169687","AT 2024afyu","17:13:43.052","+07:37:30.92","","","","","ZTF","ZTF","","ZTF","ZTF24abzxalv","P48 - ZTF-Cam","","1","1","","15.6271","r-ZTF","2024-12-29 13:44:25.002","Fritz","","","",""
"169686","AT 2024afyt","11:43:21.308","-34:44:20.06","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sbf","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.933","orange-ATLAS","2024-12-29 07:30:00.000","ATLAS_Bot1","","","",""
"169680","AT 2024afyn","15:15:34.585","+31:27:59.92","","","","","GOTO","GOTO","","GOTO","GOTO24jrd","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","19.66","L-GOTO","2024-12-30 06:22:15.744","GOTO_bot","","","",""
"169678","AT 2024afyl","08:49:18.407","+11:20:45.80","","","","","ZTF","ZTF","","ZTF","ZTF24acabxwm","P48 - ZTF-Cam","","1","1","","19.3043","r-ZTF","2024-12-30 06:05:42.999","Fritz","","","",""
"169676","AT 2024afyj","10:31:15.097","+30:17:29.75","","","","","ZTF","ZTF","","ZTF","ZTF18aarmiwj","P48 - ZTF-Cam","","1","1","","19.1442","r-ZTF","2024-12-30 06:23:25.995","Fritz","","","",""
"169675","AT 2024afyi","01:33:10.380","+30:45:34.30","","","M33","","","","","","","Other - Other","","1","1","","17.6","Clear-","2024-12-30 10:45:25.000","Itagaki","","","",""
"169674","AT 2024afyh","15:10:52.758","+31:04:30.26","","","","","GOTO","GOTO","","GOTO","GOTO24jqs","GOTO-N - GOTO-1","","1","1","","19.45","L-GOTO","2024-12-30 05:14:27.168","GOTO_bot","","","",""
"169673","AT 2024afyg","12:14:26.758","-29:15:30.64","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sba","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.942","orange-ATLAS","2024-12-29 07:38:38.400","ATLAS_Bot1","","","",""
"169672","AT 2024afyf","15:07:35.025","+26:53:25.28","","","","","GOTO","GOTO","","GOTO","GOTO24jrk","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","19.43","L-GOTO","2024-12-30 06:22:15.744","GOTO_bot","","","",""
"169671","AT 2024afye","15:08:59.881","+11:14:43.60","","","","","GOTO","GOTO","","GOTO","GOTO24jra","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","19.5","L-GOTO","2024-12-30 06:32:40.416","GOTO_bot","","","",""
"169670","AT 2024afyd","15:10:00.294","+10:54:21.42","","","","","GOTO","GOTO","","GOTO","GOTO24jrb","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","19.18","L-GOTO","2024-12-30 06:32:40.416","GOTO_bot","","","",""
"169669","AT 2024afyc","16:11:47.619","+29:34:24.17","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sax","ATLAS-HKO - ATLAS-02","","1","1","","18.597","orange-ATLAS","2024-12-29 14:56:44.736","ATLAS_Bot1","","","",""
"169662","AT 2024afxv","01:03:15.678","-12:11:09.79","","","","","ZTF","ZTF","","ZTF","ZTF24abzxlvu","P48 - ZTF-Cam","","1","1","","19.5448","g-ZTF","2024-12-30 02:58:10.997","Fritz","","","",""
"169657","AT 2024afxr","05:45:30.848","-58:54:19.26","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sak","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.523","cyan-ATLAS","2024-12-29 21:50:47.328","ATLAS_Bot1","","","",""
"169656","AT 2024afxq","04:03:36.690","-62:19:44.39","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24saj","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.178","cyan-ATLAS","2024-12-29 20:54:09.216","ATLAS_Bot1","","","",""
"169655","AT 2024afxp","02:30:30.330","+40:25:11.70","","","","","XOSS","XOSS","","XOSS","KATS24Y017","Other - Other","","1","1","","18.46","Clear-","2024-12-29 17:19:37.344","Zhang","","","",""
"169654","AT 2024afxo","23:53:27.120","-11:48:39.59","","","","","GOTO","GOTO","","GOTO","GOTO24jqf","GOTO-N - GOTO-1, GOTO-S - GOTO-3","","1","1","","18.82","L-GOTO","2024-12-29 21:11:21.696","GOTO_bot","","2024TNSTR5126....1K","",""
"169642","AT 2024afxc","06:08:06.685","-32:26:46.00","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sag","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.503","orange-ATLAS","2024-12-29 04:24:15.264","ATLAS_Bot1","","2024TNSTR5124....1T","",""
"169640","AT 2024afxa","03:23:50.382","-51:14:19.00","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sae","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.274","cyan-ATLAS","2024-12-29 20:36:31.680","ATLAS_Bot1","","2024TNSTR5124....1T","",""
"169581","AT 2024afut","21:59:02.341","+39:05:00.32","","","","","GOTO","GOTO","","GOTO","GOTO24jqb","GOTO-N - GOTO-1","","1","1","","19.5","L-GOTO","2024-12-29 19:39:58.752","GOTO_bot","","2024TNSTR5128....1K","",""
"169516","AT 2024afsg","23:54:37.540","+55:30:05.20","","","","","XOSS","XOSS","","XOSS","KATS24Y016","Other - Other","","1","1","","17.45","Clear-","2024-12-29 15:36:45.792","Zhang","","2024TNSTR5136....1X","",""
"169499","AT 2024afrp","23:08:02.950","+52:28:56.90","","","","","XOSS","XOSS","","XOSS","KATS24Y015","Other - Other","","1","1","","17.36","Clear-","2024-12-29 15:27:04.320","Zhang","","2024TNSTR5136....1X","",""
"169497","AT 2024afrn","15:21:15.166","+61:31:00.59","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rzy","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.943","orange-ATLAS","2024-12-29 13:26:59.424","ATLAS_Bot1","","2024TNSTR5124....1T","",""
"169493","AT 2024afrj","13:00:08.852","-32:36:32.98","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rzw","ATLAS-CHL - ATLAS-04","","1","1","","18.866","orange-ATLAS","2024-12-29 07:42:00.576","ATLAS_Bot1","","2024TNSTR5124....1T","",""
"169491","AT 2024afrh","05:34:59.810","+50:44:24.90","","","","","XOSS","XOSS","","XOSS","KATS24Y014","Other - Other","","1","1","","18.33","Clear-","2024-12-29 16:23:18.240","Zhang","","2024TNSTR5137....1M","",""
"169471","AT 2024afqn","05:17:22.400","+48:31:04.20","","","","","XOSS","XOSS","","XOSS","KATS24Y013","Other - Other","","1","1","","16.03","Clear-","2024-12-29 16:21:27.648","Zhang","","2024TNSTR5137....1M","",""
"169446","AT 2024afpo","15:04:29.122","+21:25:47.35","","","","","ATLAS, GOTO","ATLAS, GOTO","","ATLAS; GOTO","ATLAS24rzu","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","19.021","orange-ATLAS","2024-12-29 15:32:43.008","ATLAS_Bot1","","2024TNSTR5124....1T","",""
"169445","AT 2024afpn","15:18:11.057","+58:51:58.97","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rzs","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.875","orange-ATLAS","2024-12-29 14:29:02.400","ATLAS_Bot1","","2024TNSTR5124....1T","",""
"169444","AT 2024afpm","14:15:32.733","+20:55:31.81","","","","","ATLAS, GOTO","ATLAS, GOTO","","ATLAS; GOTO","ATLAS24rzp","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-2","","1","1","","19.096","orange-ATLAS","2024-12-29 15:15:51.264","ATLAS_Bot1","","2024TNSTR5124....1T","",""
"169443","AT 2024afpl","14:17:44.569","+16:16:51.27","","","","","ATLAS, GOTO, ZTF","ATLAS, GOTO, ZTF","","ATLAS; GOTO; ZTF","ATLAS24rzn","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-2, P48 - ZTF-Cam","","1","1","","19.111","orange-ATLAS","2024-12-29 15:25:19.776","ATLAS_Bot1","","2024TNSTR5124....1T","",""
