"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170195","AT 2025ap","00:32:17.557","+43:43:59.29","","","","","ZTF","ZTF","","ZTF","ZTF25aaaauxw","P48 - ZTF-Cam","","1","1","","19.028","r-ZTF","2025-01-02 03:26:41.000","Fritz","","","","","",""
"170194","AT 2025ao","05:52:06.733","-20:51:59.05","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25adk","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.274","cyan-ATLAS","2025-01-03 21:52:07.680","ATLAS_Bot1","","","","","",""
"170193","AT 2025an","10:57:06.257","+12:35:18.01","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25adj","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03","","1","1","","19.348","orange-ATLAS","2025-01-03 12:47:28.608","ATLAS_Bot1","","","","","",""
"170192","AT 2025am","12:28:48.803","+06:48:41.17","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25adi","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03","","1","1","","18.724","cyan-ATLAS","2025-01-02 01:19:54.336","ATLAS_Bot1","","","","","",""
"170191","AT 2025al","06:02:43.920","-20:45:06.00","","","","","XOSS","XOSS","","XOSS","KATS25A003","Other - Other","","1","1","","19.34","Clear-","2025-01-03 17:18:02.304","Mi Zhang","","","","","",""
"170190","AT 2025ak","01:08:36.030","+59:00:20.70","","","WISEA J010833.63+590035.7","","XOSS","XOSS","","XOSS","KATS25A002","Other - Other","","1","1","","19.04","Clear-","2025-01-03 16:15:57.600","Mi Zhang","","","","","",""
"170189","AT 2025aj","11:01:31.298","+39:03:35.09","","","","","YSE","Pan-STARRS","","Pan-STARRS","PS25x","PS2 - GPC2","","1","1","","21.07","i-P1","2025-01-03 14:57:14.112","YSE_Bot1","","","2025TNSTR..35....1J","","",""
"170188","AT 2025ai","12:59:40.409","+30:20:20.44","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25acr","ATLAS-HKO - ATLAS-02","","1","1","","18.357","orange-ATLAS","2025-01-03 13:55:56.928","ATLAS_Bot1","","","2025TNSTR..28....1T","","",""
"170184","AT 2025ah","02:34:45.793","+44:35:55.51","","","SDSS J023446.07+443557.0","","ALeRCE","ZTF","","ZTF","ZTF25aaabnwi","P48 - ZTF-Cam","","1","1","","19.1906","g-ZTF","2025-01-02 05:27:07.004","ALeRCE","","","2025TNSTR..27....1M","","",""
"170182","AT 2025ag","08:56:00.425","+40:53:08.52","","","","","LAST","LAST","","LAST","","LAST - LAST-Cam","","1","1","","19.18","Clear-","2025-01-02 22:29:58.272","LAST_Bot1","","","2025TNSTR..30....1K","","",""
"170179","AT 2025ae","12:29:25.019","-36:25:47.16","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25acq","ATLAS-CHL - ATLAS-04","","1","1","","18.871","orange-ATLAS","2025-01-03 07:39:10.368","ATLAS_Bot1","","","2025TNSTR..28....1T","","",""
"170175","AT 2025ab","08:26:17.968","+28:29:45.80","","","","","LAST","LAST","","LAST","","LAST - LAST-Cam","","1","1","","18.84","Clear-","2025-01-02 23:43:17.760","LAST_Bot1","","","2025TNSTR..30....1K","","",""
"170173","AT 2025Z","00:37:33.885","+24:45:24.04","","","SDSS J003733.78+244523.9","","SGLF","ZTF","","SGLF, ZTF","ZTF25aaaaper","P48 - ZTF-Cam","","1","1","","20.344","r-ZTF","2025-01-02 03:10:42.000","Ismael Perez-Fournon","","","2025TNSTR..33....1P","","",""
"170172","AT 2025Y","01:16:37.502","+44:18:46.31","","","2MASS J01163767+4418448","","SGLF","ZTF","","SGLF, ZTF","ZTF25aaaavqb","P48 - ZTF-Cam","","1","1","","20.218","r-ZTF","2025-01-02 03:29:31.000","Ismael Perez-Fournon","","","2025TNSTR..33....1P","","",""
"170171","AT 2025X","23:30:51.200","-02:56:34.10","","","IC496","","","","","","","Other - Other","","1","1","","16.9","Clear-","2025-01-03 09:54:35.000","Koichi Itagaki","","","2025TNSTR..31....1I","","",""
"170165","AT 2025W","04:16:01.374","-33:21:55.20","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25acn","ATLAS-CHL - ATLAS-04","","1","1","","18.955","orange-ATLAS","2025-01-03 02:40:58.656","ATLAS_Bot1","","","2025TNSTR..28....1T","","",""
"170163","AT 2025V","03:14:33.536","-21:00:27.39","","","","","ZTF","ZTF","","ZTF","ZTF25aaacyni","P48 - ZTF-Cam","","1","1","","19.1308","g-ZTF","2025-01-03 02:58:02.997","Fritz","","","2025TNSTR..36....1S","","",""
"170152","AT 2025U","22:45:23.755","+76:45:46.75","","","","","ZTF","ZTF","","ZTF","ZTF25aaabbyo","P48 - ZTF-Cam","","1","1","","20.1051","g-ZTF","2025-01-02 04:47:42.996","Fritz","","","2025TNSTR..36....1S","","",""
"170144","AT 2025S","16:02:23.660","+18:07:47.00","","","WISEA J160222.88+180741.7","0.061722","XOSS","XOSS","","XOSS","KATS25A001","Other - Other","","1","1","","18.92","Clear-","2025-01-02 23:22:37.920","Mi Zhang","","","2025TNSTR..34....1X","","",""
"170143","AT 2025R","03:45:51.802","-80:08:59.63","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aci","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.394","cyan-ATLAS","2025-01-02 20:11:25.728","ATLAS_Bot1","","","2025TNSTR..28....1T","","",""
"170142","AT 2025Q","04:41:42.967","-52:25:59.38","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25acg","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.358","cyan-ATLAS","2025-01-02 21:34:26.688","ATLAS_Bot1","","","2025TNSTR..28....1T","","",""
"170135","AT 2025P","21:39:03.882","+12:51:31.66","","","WISEA J213903.97+125132.6","","ALeRCE","ZTF","","ZTF","ZTF22aaubgiq","P48 - ZTF-Cam","","1","1","","18.9569","r-ZTF","2025-01-02 02:39:36.999","ALeRCE","","","2025TNSTR..17....1M","","",""
"170133","AT 2025O","15:19:43.705","+27:04:15.66","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25acd","ATLAS-HKO - ATLAS-02","","1","1","","18.78","orange-ATLAS","2025-01-02 14:54:46.368","ATLAS_Bot1","","","2025TNSTR..18....1T","","",""
"170132","AT 2025N","13:09:20.631","+46:14:23.05","","","","","ATLAS, ZTF","ATLAS, ZTF","","ATLAS, ZTF","ATLAS25abs","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","","1","1","","18.686","orange-ATLAS","2025-01-02 14:06:24.192","ATLAS_Bot1","","","2025TNSTR..18....1T","","",""
"170124","AT 2025L","02:31:34.366","-23:00:40.20","","","","","YSE, ATLAS","Pan-STARRS, ATLAS","","ATLAS, Pan-STARRS","PS25e","ATLAS-CHL - ATLAS-04, PS2 - GPC2","","1","1","","18.94","g-P1","2025-01-02 05:42:39.744","YSE_Bot1","","","2025TNSTR..23....1J","","",""
"170110","AT 2025J","02:49:04.612","-22:14:01.25","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25abj","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.584","orange-ATLAS","2025-01-02 01:49:03.936","ATLAS_Bot1","","","2025TNSTR..18....1T","","",""
