"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168970","AT 2024aexn","21:07:22.823","+22:26:55.59","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rug","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","16.346","orange-ATLAS","2024-12-25 04:55:06.816","ATLAS_Bot1","","","",""
"168968","AT 2024aexl","06:01:06.713","-27:55:15.25","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rub","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.891","orange-ATLAS","2024-12-25 05:15:44.064","ATLAS_Bot1","","","",""
"168967","AT 2024aexk","20:47:03.978","+10:20:58.18","","","","","Tomo-e Gozen","Tomo-e Gozen","","Tomo-e Gozen","Tomo-e 202412aaaasgbxl","Other - Other","","1","1","","18.66","Clear-","2024-12-25 09:21:36.000","Sasaoka","","","",""
"168966","AT 2024aexj","22:07:43.596","-18:16:00.45","","","","","GOTO","GOTO","","GOTO","GOTO24jjw","GOTO-S - GOTO-4","","1","1","","18.38","L-GOTO","2024-12-25 10:19:00.768","GOTO_bot","","","",""
"168964","AT 2024aexh","23:10:43.234","-23:29:20.37","","","","","GOTO","GOTO","","GOTO","GOTO24jju","GOTO-N - GOTO-1, GOTO-S - GOTO-4","","1","1","","19.28","L-GOTO","2024-12-25 10:28:05.952","GOTO_bot","","","",""
"168963","AT 2024aexg","22:04:38.243","-16:57:43.31","","","","","GOTO","GOTO","","GOTO","GOTO24jjq","GOTO-S - GOTO-4","","1","1","","18.61","L-GOTO","2024-12-25 10:19:00.768","GOTO_bot","","","",""
"168962","AT 2024aexf","08:40:14.788","-02:36:08.36","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rty","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","","1","1","","18.987","orange-ATLAS","2024-12-24 12:49:22.656","ATLAS_Bot1","","","",""
"168946","AT 2024aews","11:45:27.815","-50:35:41.40","","","","","ATLAS, GOTO","ATLAS, GOTO","","ATLAS; GOTO","ATLAS24rtw","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","17.581","orange-ATLAS","2024-12-24 15:27:00.864","ATLAS_Bot1","","2024TNSTR5042....1T","",""
"168945","AT 2024aewr","12:34:39.233","+14:01:06.06","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rtu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.979","orange-ATLAS","2024-12-24 15:17:43.584","ATLAS_Bot1","","2024TNSTR5042....1T","",""
"168944","AT 2024aewq","12:46:33.302","+10:35:39.22","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rtt","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03","","1","1","","19.167","orange-ATLAS","2024-12-24 15:34:20.640","ATLAS_Bot1","","2024TNSTR5042....1T","",""
