"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170390","AT 2025fv","12:38:23.888","-07:16:11.06","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS25az","PS1 - GPC1","","1","1","","20","w-P1","2025-01-04 14:36:57.600","PS1_Bot1","","","","","",""
"170389","AT 2025fu","13:45:09.159","+50:06:43.63","","","SDSS J134509.09+500644.3","","ALeRCE","ZTF","","ZTF","ZTF24acahmla","P48 - ZTF-Cam","","1","1","","19.9003","g-ZTF","2025-01-03 09:42:46.002","ALeRCE","","","","","",""
"170388","AT 2025ft","09:45:11.499","+21:11:20.42","","","","","LAST","LAST","","LAST","","LAST - LAST-Cam","","1","1","","19.02","Clear-","2025-01-06 22:36:35.712","LAST_Bot1","","","","","",""
"170387","AT 2025fs","12:11:25.810","-77:53:25.12","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25abm","Gaia - Gaia-photometric","","1","1","","16.27","G-Gaia","2025-01-04 16:33:36.000","Gaia_Bot1","","","","","",""
"170386","AT 2025fr","11:27:08.600","-68:44:33.50","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25abl","Gaia - Gaia-photometric","","1","1","","18.26","G-Gaia","2025-01-04 16:24:57.600","Gaia_Bot1","","","","","",""
"170385","AT 2025fq","07:14:58.017","+22:56:18.61","","","","","LAST","LAST","","LAST","","LAST - LAST-Cam","","1","1","","17.65","Clear-","2025-01-05 20:39:07.200","LAST_Bot1","","","","","",""
"170384","AT 2025fp","10:24:32.842","-04:26:43.12","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J102432.84-042643.1","BG3 - BlackGEM-Cam3, BG4 - BlackGEM-Cam4","","1","1","","19.97","BG-q-BlackGem","2025-01-07 05:43:29.000","BlackGEM_Bot1","","","","","",""
"170383","AT 2025fo","10:36:42.020","-25:51:56.18","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J103642.02-255156.1","BG2 - BlackGEM-Cam2, BG3 - BlackGEM-Cam3","","1","1","","20.49","BG-q-BlackGem","2025-01-06 06:10:49.000","BlackGEM_Bot1","","","","","",""
"170378","AT 2025fn","13:45:17.112","+37:19:14.28","","","","","ZTF","ZTF","","ZTF","ZTF25aabehgz","P48 - ZTF-Cam","","1","1","","19.8444","g-ZTF","2025-01-05 13:15:44.000","Fritz","","","","","",""
"170375","AT 2025fm","12:06:40.344","+11:09:01.33","","","","","ZTF","ZTF","","ZTF","ZTF25aabebix","P48 - ZTF-Cam","","1","1","","19.754","g-ZTF","2025-01-03 09:36:37.998","Fritz","","","","","",""
