"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"169730","AT 2024agal","00:41:33.690","+40:57:13.30","","","M31","","","","","","OMB-PNV22","Other - Other","","1","1","","19.3","Clear-","2024-12-30 19:13:43.000","Castellani","","","",""
"169725","AT 2024agag","07:06:52.291","-53:15:36.95","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sbz","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.742","cyan-ATLAS","2024-12-29 22:18:29.664","ATLAS_Bot1","","","",""
"169724","AT 2024agaf","14:59:45.267","+09:24:07.25","","","","","GOTO","GOTO","","GOTO","GOTO24jrr","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","18.78","L-GOTO","2024-12-30 05:47:32.640","GOTO_bot","","","",""
"169721","AT 2024agac","08:16:59.894","+44:38:26.30","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24nvy","PS1 - GPC1","","1","1","","20.45","r-P1","2024-12-29 11:40:47.424","YSE_Bot1","","","",""
"169720","AT 2024agab","12:57:51.769","+26:41:16.49","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24nvx","PS1 - GPC1","","1","1","","20.46","r-P1","2024-12-29 14:39:14.976","YSE_Bot1","","","",""
"169719","AT 2024agaa","10:24:15.661","+51:56:14.69","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24nvw","PS2 - GPC2","","1","1","","20.39","r-P1","2024-12-30 13:41:43.296","YSE_Bot1","","","",""
"169718","AT 2024afzz","10:21:23.417","+56:33:31.23","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24nvv","PS2 - GPC2","","1","1","","21.28","g-P1","2024-12-30 13:38:30.624","YSE_Bot1","","","",""
"169717","AT 2024afzy","13:24:58.037","-29:40:38.42","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J132458.03-294038.4","BG2 - BlackGEM-Cam2, BG4 - BlackGEM-Cam4","","1","1","","20.13","BG-q-BlackGem","2024-12-29 08:32:00.000","BlackGEM_Bot1","","","",""
"169715","AT 2024afzw","15:19:52.189","+61:41:20.60","","","","","ALeRCE","ZTF","","ALeRCE","ZTF24acacfdu","P48 - ZTF-Cam","","1","1","","20.5374","g-ZTF","2024-12-30 13:17:18.997","ALeRCE","","","",""
"169714","AT 2024afzv","16:20:27.485","+69:32:14.64","","","","","ALeRCE","ZTF","","ALeRCE","ZTF24acacflw","P48 - ZTF-Cam","","1","1","","20.0882","g-ZTF","2024-12-30 13:16:35.996","ALeRCE","","","",""
"169710","AT 2024afzr","22:38:36.847","-02:56:26.19","","","SDSS J223836.87-025625.9","","ALeRCE","ZTF","","ALeRCE","ZTF24abzrkyw","P48 - ZTF-Cam","","1","1","","18.5228","g-ZTF","2024-12-30 02:18:27.999","ALeRCE","","","",""
"169709","AT 2024afzq","13:08:42.762","-19:04:41.84","","","WISEA J130842.88-190443.5","","ALeRCE","ZTF","","ALeRCE","ZTF24abzwzbx","P48 - ZTF-Cam","","1","1","","19.0141","g-ZTF","2024-12-30 13:48:20.002","ALeRCE","","","",""
"169708","AT 2024afzp","22:32:36.060","-03:11:58.09","","","SDSS J223236.11-031157.0","","ALeRCE","ZTF","","ALeRCE","ZTF24abzxgbv","P48 - ZTF-Cam","","1","1","","20.0666","g-ZTF","2024-12-30 02:18:27.999","ALeRCE","","","",""
"169707","AT 2024afzo","01:19:08.765","-12:16:21.58","","","WISEA J011908.78-121622.0","","ALeRCE","ZTF","","ALeRCE","ZTF24abzxlyf","P48 - ZTF-Cam","","1","1","","19.5205","g-ZTF","2024-12-30 02:58:10.998","ALeRCE","","","",""
"169706","AT 2024afzn","10:26:29.488","+09:40:55.88","","","SDSS J102629.34+094056.1","","ALeRCE","ZTF","","ALeRCE","ZTF24abzzplu","P48 - ZTF-Cam","","1","1","","19.3192","r-ZTF","2024-12-30 07:45:32.999","ALeRCE","","","",""
"169705","AT 2024afzm","10:53:44.825","+24:33:44.37","","","SDSS J105344.51+243341.5","0.14256","ALeRCE","ZTF","","ALeRCE","ZTF24acabtet","P48 - ZTF-Cam","","1","1","","19.4989","g-ZTF","2024-12-30 10:55:13.002","ALeRCE","","","",""
"169704","AT 2024afzl","10:17:10.990","+31:12:30.10","","","SDSS J101710.83+311229.1","0.0944805","ALeRCE","ZTF","","ALeRCE","ZTF24acabtui","P48 - ZTF-Cam","","1","1","","19.821","g-ZTF","2024-12-30 11:26:02.999","ALeRCE","","","",""
"169703","AT 2024afzk","12:36:32.765","+59:05:08.96","","","SDSS J123632.54+590507.0","","ALeRCE","ZTF","","ALeRCE","ZTF24acacecq","P48 - ZTF-Cam","","1","1","","20.4323","g-ZTF","2024-12-30 12:53:56.000","ALeRCE","","","",""
"169701","AT 2024afzi","16:21:22.697","+70:51:37.27","","","WISEA J162122.38+705138.7","","ALeRCE","ZTF","","ALeRCE","ZTF24acacewv","P48 - ZTF-Cam","","1","1","","20.1502","g-ZTF","2024-12-30 13:16:35.996","ALeRCE","","","",""
"169700","AT 2024afzh","16:50:02.796","+28:10:37.25","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sbq","ATLAS-HKO - ATLAS-02","","1","1","","18.5","orange-ATLAS","2024-12-30 15:28:26.400","ATLAS_Bot1","","","",""
"169699","AT 2024afzg","16:43:06.216","+25:56:35.51","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sbp","ATLAS-HKO - ATLAS-02","","1","1","","17.543","orange-ATLAS","2024-12-30 15:28:26.400","ATLAS_Bot1","","","",""
"169698","AT 2024afzf","07:32:35.255","-17:18:14.87","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sbn","ATLAS-CHL - ATLAS-04","","1","1","","19.194","orange-ATLAS","2024-12-30 05:46:33.024","ATLAS_Bot1","","","",""
"169697","AT 2024afze","11:33:30.063","+18:30:16.74","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sbm","ATLAS-HKO - ATLAS-02","","1","1","","18.439","orange-ATLAS","2024-12-30 13:40:40.224","ATLAS_Bot1","","","",""
"169696","AT 2024afzd","12:03:21.016","+07:35:48.70","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sbl","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.118","orange-ATLAS","2024-12-30 14:00:23.040","ATLAS_Bot1","","","",""
"169690","AT 2024afyx","07:17:25.302","+15:48:44.62","","","","","","","","","","Other - Other","","1","1","","17.9","Clear-","2024-12-30 13:53:21.666","Mai","","","",""
"169688","AT 2024afyv","17:29:06.336","+18:10:24.77","","","","","ZTF","ZTF","","ZTF","ZTF24acacgbd","P48 - ZTF-Cam","","1","1","","19.4237","r-ZTF","2024-12-29 13:38:53.001","Fritz","","","",""
"169687","AT 2024afyu","17:13:43.052","+07:37:30.92","","","","","ZTF","ZTF","","ZTF","ZTF24abzxalv","P48 - ZTF-Cam","","1","1","","15.6271","r-ZTF","2024-12-29 13:44:25.002","Fritz","","","",""
"169686","AT 2024afyt","11:43:21.308","-34:44:20.06","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sbf","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.933","orange-ATLAS","2024-12-29 07:30:00.000","ATLAS_Bot1","","","",""
