"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170504","AT 2025jo","08:13:21.182","+33:52:55.87","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS25by","PS1 - GPC1","","1","1","","20.01","i-P1","2025-01-09 08:48:00.288","PS1_Bot1","","","","","",""
"170503","AT 2025jn","12:59:42.165","-05:15:46.91","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS25bw","PS2 - GPC2","","1","1","","21.65","w-P1","2025-01-08 14:17:43.296","PS1_Bot1","","","","","",""
"170502","AT 2025jm","12:37:55.348","+05:24:53.22","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS25bu","PS1 - GPC1","","1","1","","21.16","w-P1","2025-01-08 15:12:49.824","PS1_Bot1","","","","","",""
"170501","AT 2025jl","14:54:36.131","+04:18:55.36","","","","","GOTO","GOTO","","GOTO","GOTO25fz","GOTO-N - GOTO-2","","1","1","","18.69","L-GOTO","2025-01-06 06:01:27.264","GOTO_bot","","","2025TNSTR.140....1O","","",""
"170500","AT 2025jk","10:46:17.440","+29:21:36.18","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25aco","Gaia - Gaia-photometric","","1","1","","18.96","G-Gaia","2025-01-09 02:57:07.200","Gaia_Bot1","","","2025TNSTR.136....1H","","",""
"170499","AT 2025jj","10:13:17.220","-01:10:56.21","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25acm","Gaia - Gaia-photometric","","1","1","","18.33","G-Gaia","2025-01-08 21:27:21.600","Gaia_Bot1","","","2025TNSTR.136....1H","","",""
"170497","AT 2025ji","09:45:52.410","-65:27:31.60","","","","","MASTER","MASTER","","MASTER","MASTER OT J094552.41-652731.6","Other - Other","","1","1","","18.8","Other-","2025-01-10 06:10:56.640","MASTER","","","2025TNSTR.141....1S","","",""
"170496","AT 2025jh","12:57:39.817","-31:59:20.87","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25afz","ATLAS-STH - ATLAS-03","","1","1","","18.86","cyan-ATLAS","2025-01-05 01:25:51.168","ATLAS_Bot1","","","2025TNSTR.135....1T","","",""
"170494","AT 2025jg","22:02:36.580","+31:46:33.28","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25ack","Gaia - Gaia-photometric","","1","1","","16.99","G-Gaia","2025-01-07 12:48:57.600","Gaia_Bot1","","","2025TNSTR.136....1H","","",""
"170493","AT 2025jf","21:35:19.230","+47:06:04.14","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25acj","Gaia - Gaia-photometric","","1","1","","18.21","G-Gaia","2025-01-08 07:06:14.400","Gaia_Bot1","","","2025TNSTR.136....1H","","",""
"170492","AT 2025je","23:18:02.890","-60:01:46.96","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25aci","Gaia - Gaia-photometric","","1","1","","18.45","G-Gaia","2025-01-07 23:13:55.200","Gaia_Bot1","","","2025TNSTR.136....1H","","",""
"170491","AT 2025jd","09:01:17.140","-60:40:07.75","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25ach","Gaia - Gaia-photometric","","1","1","","18.16","G-Gaia","2025-01-08 10:23:31.200","Gaia_Bot1","","","2025TNSTR.136....1H","","",""
"170490","AT 2025jc","23:20:27.320","-56:54:27.72","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25ace","Gaia - Gaia-photometric","","1","1","","17.64","G-Gaia","2025-01-08 11:18:14.400","Gaia_Bot1","","","2025TNSTR.136....1H","","",""
"170489","AT 2025jb","22:52:11.400","-44:57:22.39","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25acd","Gaia - Gaia-photometric","","1","1","","18","G-Gaia","2025-01-07 23:29:45.600","Gaia_Bot1","","","2025TNSTR.136....1H","","",""
"170488","AT 2025ja","22:16:54.520","+03:29:40.42","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25acc","Gaia - Gaia-photometric","","1","1","","18.47","G-Gaia","2025-01-07 14:05:16.800","Gaia_Bot1","","","2025TNSTR.136....1H","","",""
"170487","AT 2025iz","08:01:38.320","-73:53:03.44","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25aca","Gaia - Gaia-photometric","","1","1","","17.03","G-Gaia","2025-01-08 04:36:28.800","Gaia_Bot1","","","2025TNSTR.136....1H","","",""
"170486","AT 2025iy","09:36:37.480","-44:59:14.60","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25abz","Gaia - Gaia-photometric","","1","1","","18.63","G-Gaia","2025-01-08 10:09:07.200","Gaia_Bot1","","","2025TNSTR.136....1H","","",""
"170485","AT 2025ix","10:08:49.261","-04:04:48.46","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ajq","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03","","1","1","","18.847","cyan-ATLAS","2025-01-10 00:23:54.240","ATLAS_Bot1","","","2025TNSTR.135....1T","","",""
"170484","AT 2025iw","13:30:58.388","-21:50:45.98","","","","","GOTO","GOTO","","GOTO","GOTO25fv","GOTO-N - GOTO-1, GOTO-S - GOTO-3","","1","1","","18.77","L-GOTO","2025-01-03 16:53:52.512","GOTO_bot","","","2025TNSTR.137....1K","","",""
"170483","AT 2025iv","02:07:27.254","+19:11:36.68","","","","","GOTO","GOTO","","GOTO","GOTO25ft","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","18.55","L-GOTO","2025-01-09 19:40:42.816","GOTO_bot","","","2025TNSTR.139....1K","","",""
"170481","AT 2025iu","12:30:13.057","+08:32:44.56","","","","","YSE","Pan-STARRS","","Pan-STARRS","PS25br","PS1 - GPC1","","1","1","","20.62","i-P1","2025-01-06 13:45:36.576","YSE_Bot1","","","2025TNSTR.143....1J","","",""
"170480","AT 2025it","08:30:31.933","+53:51:51.26","","","","","GOTO","GOTO","","GOTO","GOTO25fm","GOTO-N - GOTO-1","","1","1","","19.8","L-GOTO","2025-01-10 06:06:12.384","GOTO_bot","","","2025TNSTR.138....1K","","",""
"170479","AT 2025is","07:14:23.125","-03:35:19.52","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aji","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","","1","1","","18.841","orange-ATLAS","2025-01-09 11:03:15.840","ATLAS_Bot1","","","2025TNSTR.135....1T","","",""
"170478","AT 2025ir","07:38:05.949","-46:13:10.60","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ajd","ATLAS-CHL - ATLAS-04","","1","1","","18.617","orange-ATLAS","2025-01-09 04:39:01.728","ATLAS_Bot1","","","2025TNSTR.117....1T","","",""
"170477","AT 2025iq","12:53:18.307","+36:37:50.19","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aja","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.439","orange-ATLAS","2025-01-09 13:31:48.864","ATLAS_Bot1","","","2025TNSTR.117....1T","","",""
"170476","AT 2025ip","10:37:55.124","-45:45:28.24","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aiz","ATLAS-CHL - ATLAS-04","","1","1","","19.111","orange-ATLAS","2025-01-09 06:44:39.264","ATLAS_Bot1","","","2025TNSTR.117....1T","","",""
"170475","AT 2025io","13:24:57.007","-26:09:54.00","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aiy","ATLAS-STH - ATLAS-03","","1","1","","19.479","cyan-ATLAS","2025-01-09 01:40:21.216","ATLAS_Bot1","","","2025TNSTR.117....1T","","",""
"170474","AT 2025in","14:30:48.487","+36:01:50.79","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aiu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.278","orange-ATLAS","2025-01-09 14:25:34.176","ATLAS_Bot1","","","2025TNSTR.117....1T","","",""
"170473","AT 2025im","13:02:39.192","+18:00:21.94","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ais","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.163","orange-ATLAS","2025-01-09 13:12:50.976","ATLAS_Bot1","","","2025TNSTR.117....1T","","",""
"170472","AT 2025il","22:14:02.540","+12:42:11.38","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25abx","Gaia - Gaia-photometric","","1","1","","11.34","G-Gaia","2025-01-07 08:13:55.200","Gaia_Bot1","","","2025TNSTR.119....1H","","",""
