"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"169008","AT 2024aeyz","08:17:38.640","-24:21:20.90","","","","","XOSS","XOSS","","XOSS","KATS24Y008","Other - Other","","1","1","","17.69","Clear-","2024-12-25 19:09:42.624","Zhang","","","",""
"169007","AT 2024aeyy","07:47:08.300","-23:31:41.10","","","","","XOSS","XOSS","","XOSS","KATS24Y007","Other - Other","","1","1","","18.68","Clear-","2024-12-25 19:07:52.032","Zhang","","","",""
"169006","AT 2024aeyx","02:21:04.050","+53:31:51.70","","","","","XOSS","XOSS","","XOSS","KATS24Y006","Other - Other","","1","1","","18.35","Clear-","2024-12-25 17:11:36.960","Zhang","","","",""
"169005","AT 2024aeyw","08:02:03.118","-46:58:06.66","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rvd","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.652","cyan-ATLAS","2024-12-25 22:31:05.664","ATLAS_Bot1","","","",""
"169004","AT 2024aeyv","07:47:54.952","-48:09:04.33","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rvb","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.39","cyan-ATLAS","2024-12-25 22:31:05.664","ATLAS_Bot1","","","",""
"169003","AT 2024aeyu","03:47:14.854","-58:05:00.41","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24ruz","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.515","cyan-ATLAS","2024-12-25 21:12:42.912","ATLAS_Bot1","","","",""
"169002","AT 2024aeyt","04:52:04.992","-63:52:04.43","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24ruy","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.493","cyan-ATLAS","2024-12-25 21:34:55.200","ATLAS_Bot1","","","",""
"169001","AT 2024aeys","11:31:56.684","-25:56:31.62","","","WISEA J113156.68-255631.3","","ALeRCE","ZTF","","ALeRCE","ZTF24abzlpsy","P48 - ZTF-Cam","","1","1","","17.7908","r-ZTF","2024-12-24 13:43:21.999","ALeRCE","","2024TNSTR5060....1F","",""
"169000","AT 2024aeyr","01:07:59.072","-18:47:48.49","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24nbf","PS1 - GPC1","","1","1","","20.43","g-P1","2024-12-25 05:23:02.112","YSE_Bot1","","2024TNSTR5071....1J","",""
"168998","AT 2024aeyp","02:06:57.636","-46:03:01.13","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rut","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.412","cyan-ATLAS","2024-12-25 19:50:15.648","ATLAS_Bot1","","2024TNSTR5061....1T","",""
