"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170252","AT 2025bw","06:07:49.306","-21:21:25.11","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25afb","ATLAS-CHL - ATLAS-04","","1","1","","18.814","orange-ATLAS","2025-01-03 04:08:04.128","ATLAS_Bot1","","","","","",""
"170251","AT 2025bv","05:18:21.170","+32:35:33.80","","","","","XOSS","XOSS","","XOSS","KATS25A007","Other - Other","","1","1","","18.83","Clear-","2025-01-04 16:15:11.808","Mi Zhang","","","","","",""
"170250","AT 2025bu","03:22:09.373","-18:52:24.34","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J032209.37-185224.3","BG4 - BlackGEM-Cam4","","1","1","","20.23","BG-q-BlackGem","2025-01-03 01:18:17.000","BlackGEM_Bot1","","","2025TNSTR..46....1G","","",""
"170249","AT 2025bt","14:08:34.946","-32:59:00.65","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J140834.94-325900.6","BG2 - BlackGEM-Cam2","","1","1","","20.16","BG-q-BlackGem","2025-01-03 08:09:09.000","BlackGEM_Bot1","","","2025TNSTR..46....1G","","",""
"170247","AT 2025bs","13:56:52.841","+44:54:21.80","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aez","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.518","orange-ATLAS","2025-01-04 14:03:26.208","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
"170246","AT 2025br","16:04:18.012","+43:40:51.56","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aey","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.341","orange-ATLAS","2025-01-04 15:09:43.200","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
"170245","AT 2025bq","01:20:46.569","+44:31:44.92","","","SDSS J012046.60+443144.9","","ALeRCE","ZTF","","ZTF","ZTF25aaaawig","P48 - ZTF-Cam","","1","1","","19.4149","r-ZTF","2025-01-02 03:29:31.001","ALeRCE","","","2025TNSTR..43....1F","","",""
"170242","AT 2025bp","00:55:11.169","+02:04:00.89","","","2MASX J00551118+0203579","0.08614","ALeRCE","ZTF","","ZTF","ZTF25aaakjli","P48 - ZTF-Cam","","1","1","","19.6664","g-ZTF","2025-01-04 02:54:37.002","ALeRCE","","","2025TNSTR..43....1F","","",""
"170241","AT 2025bo","23:08:27.501","+23:42:30.37","","","SDSS J230827.46+234228.9","","ALeRCE","ZTF","","ZTF","ZTF25aaakman","P48 - ZTF-Cam","","1","1","","20.6115","g-ZTF","2025-01-04 02:34:23.998","ALeRCE","","","2025TNSTR..43....1F","","",""
"170240","AT 2025bn","00:04:00.235","+34:19:43.19","","","SDSS J000400.18+341944.6","0.08989208","ALeRCE","ZTF","","ZTF","ZTF25aaaktmc","P48 - ZTF-Cam","","1","1","","19.4485","r-ZTF","2025-01-04 03:47:11.000","ALeRCE","","","2025TNSTR..43....1F","","",""
"170239","AT 2025bm","00:42:49.761","+41:16:47.23","","","M31","0.001341","ALeRCE","ZTF","","ZTF","ZTF25aaakxjj","P48 - ZTF-Cam","","1","1","","18.7488","r-ZTF","2025-01-04 03:58:08.996","ALeRCE","","","2025TNSTR..43....1F","","",""
"170237","AT 2025bl","07:48:54.829","+85:45:45.34","","","","","ATLAS, ZTF","ATLAS, ZTF","","ATLAS, ZTF","ATLAS25aew","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","","1","1","","17.369","orange-ATLAS","2025-01-04 14:12:52.128","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
"170236","AT 2025bk","12:53:47.062","+59:03:13.31","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aeu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.708","orange-ATLAS","2025-01-04 13:43:38.208","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
"170235","AT 2025bj","13:56:50.866","+26:45:39.72","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aet","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.353","orange-ATLAS","2025-01-04 14:34:16.896","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
"170234","AT 2025bi","16:20:50.929","+40:28:39.06","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aek","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.049","orange-ATLAS","2025-01-04 15:02:20.832","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
"170231","AT 2025bh","09:46:10.006","+10:17:35.95","","","","","ZTF","ZTF","","ZTF","ZTF25aaaoupu","P48 - ZTF-Cam","","1","1","","20.5018","g-ZTF","2025-01-01 08:36:10.995","Fritz","","","2025TNSTR..49....1S","","",""
"170227","AT 2025bg","10:26:01.745","+21:35:37.84","","","","","ZTF, ATLAS","ZTF, ATLAS","","ATLAS, ZTF","ZTF18aawxahl","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","","1","1","","19.0292","g-ZTF","2025-01-04 09:55:22.002","Fritz","","","2025TNSTR..49....1S","","",""
"170226","AT 2025bf","07:50:57.970","-10:26:53.60","","","","","XOSS","XOSS","","XOSS","KATS25A006","Other - Other","","1","1","","17.43","Clear-","2025-01-01 19:24:29.088","Mi Zhang","","","2025TNSTR..48....1Z","","",""
"170225","AT 2025be","14:03:21.938","-18:42:14.84","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aee","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.104","cyan-ATLAS","2025-01-04 01:28:47.424","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
"170224","AT 2025bd","11:13:04.658","-48:10:22.77","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aed","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.161","cyan-ATLAS","2025-01-03 01:00:21.024","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
"170222","AT 2025bc","05:11:02.774","-00:15:38.36","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25adz","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","","1","1","","18.926","orange-ATLAS","2025-01-01 12:30:59.328","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
"170218","AT 2025bb","12:27:28.245","+75:59:39.21","","","","","ZTF","ZTF","","ZTF","ZTF25aaaprrb","P48 - ZTF-Cam","","1","1","","19.9738","g-ZTF","2025-01-01 08:42:26.999","Fritz","","","2025TNSTR..49....1S","","",""
"170217","AT 2025ba","10:14:21.487","+16:17:46.21","","","","","ZTF","ZTF","","ZTF","ZTF25aaapnoi","P48 - ZTF-Cam","","1","1","","19.5044","g-ZTF","2025-01-04 09:56:01.996","Fritz","","","2025TNSTR..49....1S","","",""
"170216","AT 2025az","05:01:05.561","-24:25:04.13","","","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","","ATLAS, Pan-STARRS","ATLAS25adr","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, PS2 - GPC2","","1","1","","20.225","cyan-ATLAS","2025-01-03 20:55:45.120","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
"170215","AT 2025ay","09:37:12.468","+38:05:37.98","","","","","ZTF","ZTF","","ZTF","ZTF25aaaprdb","P48 - ZTF-Cam","","1","1","","18.772","g-ZTF","2025-01-04 06:12:26.997","Fritz","","","2025TNSTR..50....1R","","",""
"170214","AT 2025ax","10:37:09.187","-49:23:17.71","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25adp","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.146","cyan-ATLAS","2025-01-03 00:47:42.432","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
"170213","AT 2025aw","05:32:54.811","-19:00:50.45","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ado","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.369","cyan-ATLAS","2025-01-03 21:50:06.720","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
"170209","AT 2025av","07:11:46.440","+24:02:13.50","","","","","XOSS","XOSS","","XOSS","KATS25A005","Other - Other","","1","1","","19.34","Clear-","2025-01-03 17:50:11.616","Mi Zhang","","","2025TNSTR..47....1X","","",""
"170208","AT 2025au","04:10:20.180","+25:20:20.70","","","","","XOSS","XOSS","","XOSS","KATS25A004","Other - Other","","1","1","","19.21","Clear-","2025-01-02 17:53:52.800","Mi Zhang","","","2025TNSTR..47....1X","","",""
"170206","AT 2025at","02:28:23.521","-09:18:48.68","","","","","ZTF","ZTF","","ZTF","ZTF25aaakkzs","P48 - ZTF-Cam","","1","1","","19.9828","g-ZTF","2025-01-03 02:36:33.001","Fritz","","","2025TNSTR..49....1S","","",""
"170205","AT 2025as","02:23:19.395","+02:16:03.43","","","","","ZTF","ZTF","","ZTF","ZTF25aaaklml","P48 - ZTF-Cam","","1","1","","19.6462","g-ZTF","2025-01-04 02:58:02.003","Fritz","","","2025TNSTR..49....1S","","",""
"170200","AT 2025ar","04:16:55.719","-09:01:56.97","","","","","ZTF","ZTF","","ZTF","ZTF25aaabfku","P48 - ZTF-Cam","","1","1","","19.908","g-ZTF","2025-01-02 05:03:57.000","Fritz","","","2025TNSTR..49....1S","","",""
"170198","AT 2025aq","10:35:26.787","+41:35:42.61","","","","","ZTF","ZTF","","ZTF","ZTF25aaamvkj","P48 - ZTF-Cam","","1","1","","19.6684","g-ZTF","2025-01-03 09:55:49.002","Fritz","","","2025TNSTR..49....1S","","",""
"170195","AT 2025ap","00:32:17.557","+43:43:59.29","","","","","ZTF, ATLAS","ZTF, ATLAS","","ATLAS, ZTF","ZTF25aaaauxw","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","","1","1","","19.028","r-ZTF","2025-01-02 03:26:41.000","Fritz","","","2025TNSTR..50....1R","","",""
"170194","AT 2025ao","05:52:06.708","-20:51:58.96","","","","","ATLAS, ZTF","ATLAS, ZTF","","ATLAS, ZTF","ATLAS25adk","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","","1","1","","19.274","cyan-ATLAS","2025-01-03 21:52:07.680","ATLAS_Bot1","","","2025TNSTR..44....1T","","",""
