"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168770","AT 2024aepy","12:20:45.994","+40:04:15.30","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rrf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.55","orange-ATLAS","2024-12-21 14:18:38.592","ATLAS_Bot1","","","",""
"168769","AT 2024aepx","05:42:09.316","-20:04:38.04","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rre","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.632","cyan-ATLAS","2024-12-22 22:28:23.232","ATLAS_Bot1","","","",""
"168767","AT 2024aepv","00:34:08.059","-29:33:27.01","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rrb","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.343","cyan-ATLAS","2024-12-22 20:04:00.768","ATLAS_Bot1","","","",""
"168766","AT 2024aepu","03:27:01.480","-31:24:26.68","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rqt","ATLAS-CHL - ATLAS-04","","1","1","","19.385","orange-ATLAS","2024-12-22 03:20:37.248","ATLAS_Bot1","","","",""
"168764","AT 2024aeps","01:31:13.537","-23:11:23.11","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rqq","ATLAS-CHL - ATLAS-04","","1","1","","19.045","orange-ATLAS","2024-12-22 02:02:29.184","ATLAS_Bot1","","","",""
"168763","AT 2024aepr","11:00:07.580","+15:44:56.83","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rqk","ATLAS-HKO - ATLAS-02","","1","1","","18.73","orange-ATLAS","2024-12-22 13:36:02.016","ATLAS_Bot1","","","",""
"168762","AT 2024aepq","22:46:17.454","-25:43:38.05","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rqe","ATLAS-CHL - ATLAS-04","","1","1","","18.945","orange-ATLAS","2024-12-22 01:22:39.360","ATLAS_Bot1","","","",""
"168761","AT 2024aepp","00:22:31.870","-24:54:09.83","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24mwo","PS2 - GPC2","","1","1","","20.9","g-P1","2024-12-22 05:22:11.136","YSE_Bot1","","","",""
"168760","AT 2024aepo","03:19:37.322","-19:58:37.07","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24mwn","PS2 - GPC2","","1","1","","20.49","g-P1","2024-12-22 06:46:35.904","YSE_Bot1","","","",""
"168759","AT 2024aepn","23:17:18.300","+07:40:18.39","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rqb","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.387","orange-ATLAS","2024-12-22 06:55:16.032","ATLAS_Bot1","","","",""
"168758","AT 2024aepm","00:00:15.249","-17:00:45.64","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rqa","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01","","1","1","","18.93","orange-ATLAS","2024-12-22 05:45:36.000","ATLAS_Bot1","","","",""
"168757","AT 2024aepl","11:10:07.237","+25:20:20.20","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rpz","ATLAS-HKO - ATLAS-02","","1","1","","18.198","orange-ATLAS","2024-12-22 13:35:23.136","ATLAS_Bot1","","","",""
"168753","AT 2024aeph","00:05:11.299","-12:22:40.26","","","","","ALeRCE","ZTF","","ALeRCE","ZTF24abyvidz","P48 - ZTF-Cam","","1","1","","19.3762","g-ZTF","2024-12-22 02:51:47.002","ALeRCE","","","",""
"168750","AT 2024aepe","21:54:44.035","-57:15:09.30","","","","","GOTO","GOTO","","GOTO","GOTO24jgi","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","19.05","L-GOTO","2024-12-22 10:36:53.856","GOTO_bot","","","",""
"168742","AT 2024aeow","06:12:54.233","-22:56:48.36","","","","","GOTO","GOTO","","GOTO","GOTO24jgq","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","19.55","L-GOTO","2024-12-22 12:12:04.896","GOTO_bot","","","",""
"168740","AT 2024aeou","23:56:49.411","-34:42:42.26","","","","","GOTO, ATLAS","GOTO, ATLAS","","ATLAS; GOTO","GOTO24jgh","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-4","","1","1","","18.36","L-GOTO","2024-12-22 10:51:35.136","GOTO_bot","","","",""
"168717","AT 2024aenx","01:21:38.571","-46:00:44.34","","","","","ATLAS, GOTO","ATLAS, GOTO","","ATLAS; GOTO","ATLAS24rpw","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3","","1","1","","19.178","cyan-ATLAS","2024-12-21 19:32:12.192","ATLAS_Bot1","","","",""
"168715","AT 2024aenv","04:23:06.840","-34:03:19.01","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rpt","ATLAS-CHL - ATLAS-04","","1","1","","19.267","orange-ATLAS","2024-12-22 03:45:59.616","ATLAS_Bot1","","","",""
"168714","AT 2024aenu","00:47:57.208","-42:13:11.23","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J004757.20-421311.2","BG4 - BlackGEM-Cam4","","1","1","","20","BG-q-BlackGem","2024-12-22 01:37:00.000","BlackGEM_Bot1","","","",""
"168703","AT 2024aenj","01:32:44.680","+25:50:04.15","","","SDSS J013244.74+255004.4","","ALeRCE","ZTF","","ALeRCE","ZTF24abynapy","P48 - ZTF-Cam","","1","1","","20.3745","r-ZTF","2024-12-21 03:04:08.996","ALeRCE","","","",""
"168701","AT 2024aenh","01:34:13.417","-28:15:47.86","","","","","ALeRCE","ZTF","","ALeRCE","ZTF24abynyet","P48 - ZTF-Cam","","1","1","","19.6777","g-ZTF","2024-12-21 04:02:31.004","ALeRCE","","","",""
"168700","AT 2024aeng","01:25:20.451","+00:35:39.97","","","SDSS J012520.44+003541.2","","ALeRCE","ZTF","","ALeRCE","ZTF24abyofbb","P48 - ZTF-Cam","","1","1","","19.3412","g-ZTF","2024-12-21 04:39:24.002","ALeRCE","","","",""
"168699","AT 2024aenf","03:16:28.537","+77:12:01.53","","","SDSS J031628.03+771159.9","","ALeRCE","ZTF","","ALeRCE","ZTF24abyrxua","P48 - ZTF-Cam","","1","1","","20.0573","r-ZTF","2024-12-21 08:38:49.004","ALeRCE","","","",""
"168697","AT 2024aend","02:25:15.194","-49:58:33.65","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rpo","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.629","cyan-ATLAS","2024-12-21 20:21:32.256","ATLAS_Bot1","","2024TNSTR4996....1T","",""
"168696","AT 2024aenc","03:36:04.532","-48:03:31.37","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rpn","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.572","cyan-ATLAS","2024-12-21 21:07:24.096","ATLAS_Bot1","","2024TNSTR4996....1T","",""
"168695","AT 2024aenb","00:19:51.591","-61:44:45.16","","","","","ATLAS, GOTO","ATLAS, GOTO","","ATLAS; GOTO","ATLAS24rpm","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","18.871","cyan-ATLAS","2024-12-21 19:09:41.760","ATLAS_Bot1","","2024TNSTR4996....1T","",""
"168694","AT 2024aena","13:20:54.372","+58:34:18.24","","","","","ATLAS","ATLAS","","ATLAS","ATLAS18qfa","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.138","orange-ATLAS","2024-12-21 14:38:21.408","ATLAS_Bot1","","2024TNSTR4996....1T","",""
