"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170477","AT 2025iq","12:53:18.307","+36:37:50.19","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aja","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.439","orange-ATLAS","2025-01-09 13:31:48.864","ATLAS_Bot1","","","","","",""
"170476","AT 2025ip","10:37:55.124","-45:45:28.24","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aiz","ATLAS-CHL - ATLAS-04","","1","1","","19.111","orange-ATLAS","2025-01-09 06:44:39.264","ATLAS_Bot1","","","","","",""
"170475","AT 2025io","13:24:57.007","-26:09:54.00","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aiy","ATLAS-STH - ATLAS-03","","1","1","","19.479","cyan-ATLAS","2025-01-09 01:40:21.216","ATLAS_Bot1","","","","","",""
"170474","AT 2025in","14:30:48.487","+36:01:50.79","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aiu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.278","orange-ATLAS","2025-01-09 14:25:34.176","ATLAS_Bot1","","","","","",""
"170473","AT 2025im","13:02:39.192","+18:00:21.94","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ais","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.163","orange-ATLAS","2025-01-09 13:12:50.976","ATLAS_Bot1","","","","","",""
"170472","AT 2025il","22:14:02.540","+12:42:11.38","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25abx","Gaia - Gaia-photometric","","1","1","","11.34","G-Gaia","2025-01-07 08:13:55.200","Gaia_Bot1","","","","","",""
"170471","AT 2025ik","08:30:04.170","-74:12:54.94","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25abw","Gaia - Gaia-photometric","","1","1","","15.57","G-Gaia","2025-01-07 16:35:02.400","Gaia_Bot1","","","","","",""
"170470","AT 2025ij","22:19:04.830","+11:06:52.06","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25abv","Gaia - Gaia-photometric","","1","1","","18.72","G-Gaia","2025-01-07 02:12:28.800","Gaia_Bot1","","","","","",""
"170468","AT 2025ii","10:19:08.480","-07:56:37.72","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25abs","Gaia - Gaia-photometric","","1","1","","18.77","G-Gaia","2025-01-07 03:31:40.800","Gaia_Bot1","","","","","",""
"170467","AT 2025ih","22:13:31.360","+16:22:23.59","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25abr","Gaia - Gaia-photometric","","1","1","","18.77","G-Gaia","2025-01-07 06:31:40.800","Gaia_Bot1","","","","","",""
